metric,year,value.x,country.x,SAP.x,value.y,country.y,SAP.y
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,2004,22000,Angola,Has not received IMF money,14000,Namibia,Angola has not received IMF money
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,2005,23000,Angola,Has not received IMF money,13000,Namibia,Angola has not received IMF money
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,2006,24000,Angola,Has not received IMF money,12000,Namibia,Angola has not received IMF money
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,2007,25000,Angola,Has not received IMF money,11000,Namibia,Angola has not received IMF money
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,2008,25000,Angola,Has not received IMF money,10000,Namibia,Angola has not received IMF money
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,2009,26000,Angola,Has received IMF money,10000,Namibia,Angola has received IMF money
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,2010,26000,Angola,Has received IMF money,9900,Namibia,Angola has received IMF money
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,2011,27000,Angola,Has received IMF money,9200,Namibia,Angola has received IMF money
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,2012,28000,Angola,Has received IMF money,9100,Namibia,Angola has received IMF money
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,2013,28000,Angola,Has received IMF money,9000,Namibia,Angola has received IMF money
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,2014,27000,Angola,Has received IMF money,7900,Namibia,Angola has received IMF money
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,2015,27000,Angola,Has received IMF money,7600,Namibia,Angola has received IMF money
Adults (ages 15+) newly infected with HIV,2000,13000,Angola,Has not received IMF money,14000,Namibia,Angola has not received IMF money
Adults (ages 15+) newly infected with HIV,2001,13000,Angola,Has not received IMF money,13000,Namibia,Angola has not received IMF money
Adults (ages 15+) newly infected with HIV,2002,15000,Angola,Has not received IMF money,12000,Namibia,Angola has not received IMF money
Adults (ages 15+) newly infected with HIV,2003,15000,Angola,Has not received IMF money,11000,Namibia,Angola has not received IMF money
Adults (ages 15+) newly infected with HIV,2004,16000,Angola,Has not received IMF money,11000,Namibia,Angola has not received IMF money
Adults (ages 15+) newly infected with HIV,2005,17000,Angola,Has not received IMF money,10000,Namibia,Angola has not received IMF money
Adults (ages 15+) newly infected with HIV,2006,18000,Angola,Has not received IMF money,9600,Namibia,Angola has not received IMF money
Adults (ages 15+) newly infected with HIV,2007,18000,Angola,Has not received IMF money,9100,Namibia,Angola has not received IMF money
Adults (ages 15+) newly infected with HIV,2008,19000,Angola,Has not received IMF money,8600,Namibia,Angola has not received IMF money
Adults (ages 15+) newly infected with HIV,2009,20000,Angola,Has received IMF money,8600,Namibia,Angola has received IMF money
Adults (ages 15+) newly infected with HIV,2010,20000,Angola,Has received IMF money,8500,Namibia,Angola has received IMF money
Adults (ages 15+) newly infected with HIV,2011,20000,Angola,Has received IMF money,7900,Namibia,Angola has received IMF money
Adults (ages 15+) newly infected with HIV,2012,21000,Angola,Has received IMF money,7700,Namibia,Angola has received IMF money
Adults (ages 15+) newly infected with HIV,2013,21000,Angola,Has received IMF money,7800,Namibia,Angola has received IMF money
Adults (ages 15+) newly infected with HIV,2014,21000,Angola,Has received IMF money,6800,Namibia,Angola has received IMF money
Adults (ages 15+) newly infected with HIV,2015,21000,Angola,Has received IMF money,6600,Namibia,Angola has received IMF money
Agricultural land (% of land area),2000,45.96133793,Angola,Has not received IMF money,47.15227927,Namibia,Angola has not received IMF money
Agricultural land (% of land area),2001,45.96133793,Angola,Has not received IMF money,47.15227927,Namibia,Angola has not received IMF money
Agricultural land (% of land area),2002,46.03352852,Angola,Has not received IMF money,47.15227927,Namibia,Angola has not received IMF money
Agricultural land (% of land area),2003,46.19395203,Angola,Has not received IMF money,47.15227927,Namibia,Angola has not received IMF money
Agricultural land (% of land area),2004,46.19395203,Angola,Has not received IMF money,47.15227927,Namibia,Angola has not received IMF money
Agricultural land (% of land area),2005,46.19395203,Angola,Has not received IMF money,47.15227927,Namibia,Angola has not received IMF money
Agricultural land (% of land area),2006,46.19395203,Angola,Has not received IMF money,47.15227927,Namibia,Angola has not received IMF money
Agricultural land (% of land area),2007,46.27416379,Angola,Has not received IMF money,47.1377036,Namibia,Angola has not received IMF money
Agricultural land (% of land area),2008,46.27416379,Angola,Has not received IMF money,47.1377036,Namibia,Angola has not received IMF money
Agricultural land (% of land area),2009,46.75543435,Angola,Has received IMF money,47.1377036,Namibia,Angola has received IMF money
Agricultural land (% of land area),2010,46.83564611,Angola,Has received IMF money,47.13891824,Namibia,Angola has received IMF money
Agricultural land (% of land area),2011,47.31691666,Angola,Has received IMF money,47.13891824,Namibia,Angola has received IMF money
Agricultural land (% of land area),2012,47.31691666,Angola,Has received IMF money,47.13891824,Namibia,Angola has received IMF money
Agricultural land (% of land area),2013,47.47734018,Angola,Has received IMF money,47.13891824,Namibia,Angola has received IMF money
Agricultural land (% of land area),2014,47.47734018,Angola,Has received IMF money,47.13891824,Namibia,Angola has received IMF money
Agricultural land (% of land area),2015,47.47734018,Angola,Has received IMF money,47.13891824,Namibia,Angola has received IMF money
"Agriculture, forestry, and fishing, value added (% of GDP)",2000,5.664689564,Angola,Has not received IMF money,10.97804107,Namibia,Angola has not received IMF money
"Agriculture, forestry, and fishing, value added (% of GDP)",2001,8.156377022,Angola,Has not received IMF money,9.900569119,Namibia,Angola has not received IMF money
"Agriculture, forestry, and fishing, value added (% of GDP)",2002,5.839549975,Angola,Has not received IMF money,10.26444864,Namibia,Angola has not received IMF money
"Agriculture, forestry, and fishing, value added (% of GDP)",2003,6.198384339,Angola,Has not received IMF money,10.4583661,Namibia,Angola has not received IMF money
"Agriculture, forestry, and fishing, value added (% of GDP)",2004,6.250876536,Angola,Has not received IMF money,9.117399496,Namibia,Angola has not received IMF money
"Agriculture, forestry, and fishing, value added (% of GDP)",2005,5.060402948,Angola,Has not received IMF money,10.58293887,Namibia,Angola has not received IMF money
"Agriculture, forestry, and fishing, value added (% of GDP)",2006,5.191280189,Angola,Has not received IMF money,9.845354079,Namibia,Angola has not received IMF money
"Agriculture, forestry, and fishing, value added (% of GDP)",2007,5.242278337,Angola,Has not received IMF money,8.546890728,Namibia,Angola has not received IMF money
"Agriculture, forestry, and fishing, value added (% of GDP)",2008,4.805339317,Angola,Has not received IMF money,7.630066906,Namibia,Angola has not received IMF money
"Agriculture, forestry, and fishing, value added (% of GDP)",2009,6.62119707,Angola,Has received IMF money,8.253227706,Namibia,Angola has received IMF money
"Agriculture, forestry, and fishing, value added (% of GDP)",2010,6.180293181,Angola,Has received IMF money,8.577791536,Namibia,Angola has received IMF money
"Agriculture, forestry, and fishing, value added (% of GDP)",2011,5.845680969,Angola,Has received IMF money,8.231879363,Namibia,Angola has received IMF money
"Agriculture, forestry, and fishing, value added (% of GDP)",2012,6.069630075,Angola,Has received IMF money,8.0544752,Namibia,Angola has received IMF money
"Agriculture, forestry, and fishing, value added (% of GDP)",2013,6.50749254,Angola,Has received IMF money,6.344460829,Namibia,Angola has received IMF money
"Agriculture, forestry, and fishing, value added (% of GDP)",2014,7.547056779,Angola,Has received IMF money,6.689280673,Namibia,Angola has received IMF money
"Agriculture, forestry, and fishing, value added (% of GDP)",2015,9.122534471,Angola,Has received IMF money,5.903916221,Namibia,Angola has received IMF money
"Agriculture, forestry, and fishing, value added (current US$)",2000,517163204.9,Angola,Has not received IMF money,420897403.4,Namibia,Angola has not received IMF money
"Agriculture, forestry, and fishing, value added (current US$)",2001,728859048.2,Angola,Has not received IMF money,344188577.3,Namibia,Angola has not received IMF money
"Agriculture, forestry, and fishing, value added (current US$)",2002,892609949,Angola,Has not received IMF money,336229453.5,Namibia,Angola has not received IMF money
"Agriculture, forestry, and fishing, value added (current US$)",2003,1104099935,Angola,Has not received IMF money,503255952,Namibia,Angola has not received IMF money
"Agriculture, forestry, and fishing, value added (current US$)",2004,1472209718,Angola,Has not received IMF money,590847763.8,Namibia,Angola has not received IMF money
"Agriculture, forestry, and fishing, value added (current US$)",2005,1870877460,Angola,Has not received IMF money,753652556.1,Namibia,Angola has not received IMF money
"Agriculture, forestry, and fishing, value added (current US$)",2006,2719244833,Angola,Has not received IMF money,771387787,Namibia,Angola has not received IMF money
"Agriculture, forestry, and fishing, value added (current US$)",2007,3421449079,Angola,Has not received IMF money,747072231.5,Namibia,Angola has not received IMF money
"Agriculture, forestry, and fishing, value added (current US$)",2008,4254580695,Angola,Has not received IMF money,647542560.4,Namibia,Angola has not received IMF money
"Agriculture, forestry, and fishing, value added (current US$)",2009,4655175862,Angola,Has received IMF money,732572264.8,Namibia,Angola has received IMF money
"Agriculture, forestry, and fishing, value added (current US$)",2010,5179054574,Angola,Has received IMF money,967762962.4,Namibia,Angola has received IMF money
"Agriculture, forestry, and fishing, value added (current US$)",2011,6534868427,Angola,Has received IMF money,1021545758,Namibia,Angola has received IMF money
"Agriculture, forestry, and fishing, value added (current US$)",2012,7772334516,Angola,Has received IMF money,1048392473,Namibia,Angola has received IMF money
"Agriculture, forestry, and fishing, value added (current US$)",2013,8896384125,Angola,Has received IMF money,806875236.9,Namibia,Angola has received IMF money
"Agriculture, forestry, and fishing, value added (current US$)",2014,10996982492,Angola,Has received IMF money,855296645.1,Namibia,Angola has received IMF money
"Agriculture, forestry, and fishing, value added (current US$)",2015,10599805694,Angola,Has received IMF money,687845007.3,Namibia,Angola has received IMF money
Antiretroviral therapy coverage (% of people living with HIV),2000,0,Angola,Has not received IMF money,0,Namibia,Angola has not received IMF money
Antiretroviral therapy coverage (% of people living with HIV),2001,0,Angola,Has not received IMF money,0,Namibia,Angola has not received IMF money
Antiretroviral therapy coverage (% of people living with HIV),2002,0,Angola,Has not received IMF money,0,Namibia,Angola has not received IMF money
Antiretroviral therapy coverage (% of people living with HIV),2003,0,Angola,Has not received IMF money,0,Namibia,Angola has not received IMF money
Antiretroviral therapy coverage (% of people living with HIV),2004,0,Angola,Has not received IMF money,4,Namibia,Angola has not received IMF money
Antiretroviral therapy coverage (% of people living with HIV),2005,0,Angola,Has not received IMF money,9,Namibia,Angola has not received IMF money
Antiretroviral therapy coverage (% of people living with HIV),2006,3,Angola,Has not received IMF money,17,Namibia,Angola has not received IMF money
Antiretroviral therapy coverage (% of people living with HIV),2007,4,Angola,Has not received IMF money,28,Namibia,Angola has not received IMF money
Antiretroviral therapy coverage (% of people living with HIV),2008,6,Angola,Has not received IMF money,35,Namibia,Angola has not received IMF money
Antiretroviral therapy coverage (% of people living with HIV),2009,8,Angola,Has received IMF money,38,Namibia,Angola has received IMF money
Antiretroviral therapy coverage (% of people living with HIV),2010,10,Angola,Has received IMF money,50,Namibia,Angola has received IMF money
Antiretroviral therapy coverage (% of people living with HIV),2011,11,Angola,Has received IMF money,59,Namibia,Angola has received IMF money
Antiretroviral therapy coverage (% of people living with HIV),2012,13,Angola,Has received IMF money,64,Namibia,Angola has received IMF money
Antiretroviral therapy coverage (% of people living with HIV),2013,18,Angola,Has received IMF money,68,Namibia,Angola has received IMF money
Antiretroviral therapy coverage (% of people living with HIV),2014,23,Angola,Has received IMF money,69,Namibia,Angola has received IMF money
Antiretroviral therapy coverage (% of people living with HIV),2015,24,Angola,Has received IMF money,75,Namibia,Angola has received IMF money
Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),2000,0,Angola,Has not received IMF money,0,Namibia,Angola has not received IMF money
Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),2001,0,Angola,Has not received IMF money,0,Namibia,Angola has not received IMF money
Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),2002,0,Angola,Has not received IMF money,0,Namibia,Angola has not received IMF money
Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),2003,0,Angola,Has not received IMF money,1,Namibia,Angola has not received IMF money
Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),2004,2,Angola,Has not received IMF money,8,Namibia,Angola has not received IMF money
Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),2005,3,Angola,Has not received IMF money,37,Namibia,Angola has not received IMF money
Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),2006,12,Angola,Has not received IMF money,57,Namibia,Angola has not received IMF money
Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),2007,11,Angola,Has not received IMF money,75,Namibia,Angola has not received IMF money
Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),2008,14,Angola,Has not received IMF money,77,Namibia,Angola has not received IMF money
Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),2009,16,Angola,Has received IMF money,66,Namibia,Angola has received IMF money
Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),2010,18,Angola,Has received IMF money,67,Namibia,Angola has received IMF money
Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),2011,12,Angola,Has received IMF money,72,Namibia,Angola has received IMF money
Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),2012,15,Angola,Has received IMF money,63,Namibia,Angola has received IMF money
Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),2013,26,Angola,Has received IMF money,79,Namibia,Angola has received IMF money
Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),2014,39,Angola,Has received IMF money,77,Namibia,Angola has received IMF money
Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),2015,36,Angola,Has received IMF money,75,Namibia,Angola has received IMF money
"Armed forces personnel, total",2000,117500,Angola,Has not received IMF money,9100,Namibia,Angola has not received IMF money
"Armed forces personnel, total",2001,145500,Angola,Has not received IMF money,15000,Namibia,Angola has not received IMF money
"Armed forces personnel, total",2002,110000,Angola,Has not received IMF money,15000,Namibia,Angola has not received IMF money
"Armed forces personnel, total",2003,130000,Angola,Has not received IMF money,15000,Namibia,Angola has not received IMF money
"Armed forces personnel, total",2004,118000,Angola,Has not received IMF money,15000,Namibia,Angola has not received IMF money
"Armed forces personnel, total",2005,118000,Angola,Has not received IMF money,15000,Namibia,Angola has not received IMF money
"Armed forces personnel, total",2006,110000,Angola,Has not received IMF money,15000,Namibia,Angola has not received IMF money
"Armed forces personnel, total",2007,117000,Angola,Has not received IMF money,15000,Namibia,Angola has not received IMF money
"Armed forces personnel, total",2008,117000,Angola,Has not received IMF money,15000,Namibia,Angola has not received IMF money
"Armed forces personnel, total",2009,117000,Angola,Has received IMF money,15200,Namibia,Angola has received IMF money
"Armed forces personnel, total",2010,117000,Angola,Has received IMF money,15200,Namibia,Angola has received IMF money
"Armed forces personnel, total",2011,117000,Angola,Has received IMF money,15200,Namibia,Angola has received IMF money
"Armed forces personnel, total",2012,117000,Angola,Has received IMF money,15200,Namibia,Angola has received IMF money
"Armed forces personnel, total",2013,117000,Angola,Has received IMF money,15200,Namibia,Angola has received IMF money
"Armed forces personnel, total",2014,117000,Angola,Has received IMF money,15200,Namibia,Angola has received IMF money
"Armed forces personnel, total",2015,117000,Angola,Has received IMF money,15200,Namibia,Angola has received IMF money
"Birth rate, crude (per 1,000 people)",2000,48.15,Angola,Has not received IMF money,30.866,Namibia,Angola has not received IMF money
"Birth rate, crude (per 1,000 people)",2001,48.027,Angola,Has not received IMF money,30.208,Namibia,Angola has not received IMF money
"Birth rate, crude (per 1,000 people)",2002,47.911,Angola,Has not received IMF money,29.71,Namibia,Angola has not received IMF money
"Birth rate, crude (per 1,000 people)",2003,47.786,Angola,Has not received IMF money,29.398,Namibia,Angola has not received IMF money
"Birth rate, crude (per 1,000 people)",2004,47.639,Angola,Has not received IMF money,29.273,Namibia,Angola has not received IMF money
"Birth rate, crude (per 1,000 people)",2005,47.453,Angola,Has not received IMF money,29.321,Namibia,Angola has not received IMF money
"Birth rate, crude (per 1,000 people)",2006,47.215,Angola,Has not received IMF money,29.508,Namibia,Angola has not received IMF money
"Birth rate, crude (per 1,000 people)",2007,46.92,Angola,Has not received IMF money,29.769,Namibia,Angola has not received IMF money
"Birth rate, crude (per 1,000 people)",2008,46.563,Angola,Has not received IMF money,30.041,Namibia,Angola has not received IMF money
"Birth rate, crude (per 1,000 people)",2009,46.143,Angola,Has received IMF money,30.28,Namibia,Angola has received IMF money
"Birth rate, crude (per 1,000 people)",2010,45.656,Angola,Has received IMF money,30.448,Namibia,Angola has received IMF money
"Birth rate, crude (per 1,000 people)",2011,45.102,Angola,Has received IMF money,30.52,Namibia,Angola has received IMF money
"Birth rate, crude (per 1,000 people)",2012,44.493,Angola,Has received IMF money,30.499,Namibia,Angola has received IMF money
"Birth rate, crude (per 1,000 people)",2013,43.847,Angola,Has received IMF money,30.391,Namibia,Angola has received IMF money
"Birth rate, crude (per 1,000 people)",2014,43.182,Angola,Has received IMF money,30.192,Namibia,Angola has received IMF money
"Birth rate, crude (per 1,000 people)",2015,42.52,Angola,Has received IMF money,29.904,Namibia,Angola has received IMF money
Children (0-14) living with HIV,2000,10000,Angola,Has not received IMF money,8800,Namibia,Angola has not received IMF money
Children (0-14) living with HIV,2001,12000,Angola,Has not received IMF money,9700,Namibia,Angola has not received IMF money
Children (0-14) living with HIV,2002,13000,Angola,Has not received IMF money,11000,Namibia,Angola has not received IMF money
Children (0-14) living with HIV,2003,15000,Angola,Has not received IMF money,11000,Namibia,Angola has not received IMF money
Children (0-14) living with HIV,2004,17000,Angola,Has not received IMF money,12000,Namibia,Angola has not received IMF money
Children (0-14) living with HIV,2005,19000,Angola,Has not received IMF money,12000,Namibia,Angola has not received IMF money
Children (0-14) living with HIV,2006,21000,Angola,Has not received IMF money,12000,Namibia,Angola has not received IMF money
Children (0-14) living with HIV,2007,23000,Angola,Has not received IMF money,13000,Namibia,Angola has not received IMF money
Children (0-14) living with HIV,2008,24000,Angola,Has not received IMF money,13000,Namibia,Angola has not received IMF money
Children (0-14) living with HIV,2009,26000,Angola,Has received IMF money,13000,Namibia,Angola has received IMF money
Children (0-14) living with HIV,2010,28000,Angola,Has received IMF money,13000,Namibia,Angola has received IMF money
Children (0-14) living with HIV,2011,30000,Angola,Has received IMF money,14000,Namibia,Angola has received IMF money
Children (0-14) living with HIV,2012,32000,Angola,Has received IMF money,14000,Namibia,Angola has received IMF money
Children (0-14) living with HIV,2013,33000,Angola,Has received IMF money,14000,Namibia,Angola has received IMF money
Children (0-14) living with HIV,2014,34000,Angola,Has received IMF money,13000,Namibia,Angola has received IMF money
Children (0-14) living with HIV,2015,34000,Angola,Has received IMF money,13000,Namibia,Angola has received IMF money
Children (ages 0-14) newly infected with HIV,2000,3700,Angola,Has not received IMF money,3100,Namibia,Angola has not received IMF money
Children (ages 0-14) newly infected with HIV,2001,4100,Angola,Has not received IMF money,3200,Namibia,Angola has not received IMF money
Children (ages 0-14) newly infected with HIV,2002,4600,Angola,Has not received IMF money,3200,Namibia,Angola has not received IMF money
Children (ages 0-14) newly infected with HIV,2003,5000,Angola,Has not received IMF money,3200,Namibia,Angola has not received IMF money
Children (ages 0-14) newly infected with HIV,2004,5400,Angola,Has not received IMF money,3000,Namibia,Angola has not received IMF money
