"","metric","year","value.x","country.x","SAP.x","value.y","country.y","SAP.y"
"23","Adjusted net national income (constant 2010 US$)",2006,25572508502.9072,"Angola","Has not received IMF money",8622286493.90527,"Namibia","Angola has not received IMF money"
"24","Adjusted net national income (constant 2010 US$)",2007,20768796417.1689,"Angola","Has not received IMF money",8499225184.12094,"Namibia","Angola has not received IMF money"
"25","Adjusted net national income (constant 2010 US$)",2008,7820167941.42663,"Angola","Has not received IMF money",9332810818.00439,"Namibia","Angola has not received IMF money"
"26","Adjusted net national income (constant 2010 US$)",2009,15468359575.7887,"Angola","Has not received IMF money",9363103569.64372,"Namibia","Angola has not received IMF money"
"27","Adjusted net national income (constant 2010 US$)",2010,25886631725.5839,"Angola","Has received IMF money",9554277242.5793,"Namibia","Angola has received IMF money"
"28","Adjusted net national income (constant 2010 US$)",2011,31687241574.4474,"Angola","Has received IMF money",10239610885.5285,"Namibia","Angola has received IMF money"
"29","Adjusted net national income (constant 2010 US$)",2012,36162071425.2201,"Angola","Has received IMF money",11155873974.568,"Namibia","Angola has received IMF money"
"30","Adjusted net national income (constant 2010 US$)",2013,41984931225.2505,"Angola","Has received IMF money",12359135281.8233,"Namibia","Angola has received IMF money"
"31","Adjusted net national income (constant 2010 US$)",2014,47453728892.4342,"Angola","Has received IMF money",13288252562.6193,"Namibia","Angola has received IMF money"
"32","Adjusted net national income (constant 2010 US$)",2015,49798777337.3032,"Angola","Has received IMF money",13980887415.6219,"Namibia","Angola has received IMF money"
"33","Adjusted net national income (current US$)",2000,71003569.6663289,"Angola","Has not received IMF money",3540906674.52621,"Namibia","Angola has not received IMF money"
"34","Adjusted net national income (current US$)",2001,1851227521.76712,"Angola","Has not received IMF money",3180028171.85605,"Namibia","Angola has not received IMF money"
"35","Adjusted net national income (current US$)",2002,6268430255.517,"Angola","Has not received IMF money",3035506432.9876,"Namibia","Angola has not received IMF money"
"36","Adjusted net national income (current US$)",2003,7919158464.63455,"Angola","Has not received IMF money",4586156571.47641,"Namibia","Angola has not received IMF money"
"37","Adjusted net national income (current US$)",2004,8267704884.69747,"Angola","Has not received IMF money",5932331452.54328,"Namibia","Angola has not received IMF money"
"38","Adjusted net national income (current US$)",2005,10959280483.928,"Angola","Has not received IMF money",6293095480.87622,"Namibia","Angola has not received IMF money"
"39","Adjusted net national income (current US$)",2006,17266696198.4617,"Angola","Has not received IMF money",6949088117.0853,"Namibia","Angola has not received IMF money"
"40","Adjusted net national income (current US$)",2007,17136021298.3463,"Angola","Has not received IMF money",7431578226.12751,"Namibia","Angola has not received IMF money"
"41","Adjusted net national income (current US$)",2008,7966524443.94751,"Angola","Has not received IMF money",7375968858.45547,"Namibia","Angola has not received IMF money"
"42","Adjusted net national income (current US$)",2009,16556570078.0269,"Angola","Has not received IMF money",7709120893.26503,"Namibia","Angola has not received IMF money"
"43","Adjusted net national income (current US$)",2010,25886631725.5839,"Angola","Has received IMF money",9554277242.5793,"Namibia","Angola has received IMF money"
"44","Adjusted net national income (current US$)",2011,36191489624.2349,"Angola","Has received IMF money",10584638629.6559,"Namibia","Angola has received IMF money"
"45","Adjusted net national income (current US$)",2012,44936508119.2478,"Angola","Has received IMF money",11065980340.1359,"Namibia","Angola has received IMF money"
"46","Adjusted net national income (current US$)",2013,54993875952.3246,"Angola","Has received IMF money",11179275011.5332,"Namibia","Angola has received IMF money"
"47","Adjusted net national income (current US$)",2014,67319475744.8897,"Angola","Has received IMF money",11259911432.2473,"Namibia","Angola has received IMF money"
"48","Adjusted net national income (current US$)",2015,65290177866.4597,"Angola","Has received IMF money",10135233879.2916,"Namibia","Angola has received IMF money"
"49","Adjusted net national income per capita (constant 2010 US$)",2000,19.9038758361843,"Angola","Has not received IMF money",3612.50883071692,"Namibia","Angola has not received IMF money"
"50","Adjusted net national income per capita (constant 2010 US$)",2001,464.587476912859,"Angola","Has not received IMF money",3621.71224785884,"Namibia","Angola has not received IMF money"
"51","Adjusted net national income per capita (constant 2010 US$)",2002,991.657186402864,"Angola","Has not received IMF money",3806.02684859982,"Namibia","Angola has not received IMF money"
"52","Adjusted net national income per capita (constant 2010 US$)",2003,1086.33888619704,"Angola","Has not received IMF money",3842.01612820789,"Namibia","Angola has not received IMF money"
"53","Adjusted net national income per capita (constant 2010 US$)",2004,983.662058599348,"Angola","Has not received IMF money",4045.76880600476,"Namibia","Angola has not received IMF money"
"54","Adjusted net national income per capita (constant 2010 US$)",2005,998.438198696085,"Angola","Has not received IMF money",3974.13129333235,"Namibia","Angola has not received IMF money"
"55","Adjusted net national income per capita (constant 2010 US$)",2006,1269.11335707839,"Angola","Has not received IMF money",4373.87111961459,"Namibia","Angola has not received IMF money"
"56","Adjusted net national income per capita (constant 2010 US$)",2007,993.467390026609,"Angola","Has not received IMF money",4235.81653759752,"Namibia","Angola has not received IMF money"
"57","Adjusted net national income per capita (constant 2010 US$)",2008,360.448924489906,"Angola","Has not received IMF money",4567.30851612777,"Namibia","Angola has not received IMF money"
"58","Adjusted net national income per capita (constant 2010 US$)",2009,687.046571719911,"Angola","Has not received IMF money",4499.23383150175,"Namibia","Angola has not received IMF money"
"59","Adjusted net national income per capita (constant 2010 US$)",2010,1108.33871700032,"Angola","Has received IMF money",4509.12949169196,"Namibia","Angola has received IMF money"
"60","Adjusted net national income per capita (constant 2010 US$)",2011,1308.27319594818,"Angola","Has received IMF money",4747.81199875572,"Namibia","Angola has received IMF money"
"61","Adjusted net national income per capita (constant 2010 US$)",2012,1440.26488782449,"Angola","Has received IMF money",5082.90290733302,"Namibia","Angola has received IMF money"
"62","Adjusted net national income per capita (constant 2010 US$)",2013,1613.82557913891,"Angola","Has received IMF money",5533.50344606618,"Namibia","Angola has received IMF money"
"63","Adjusted net national income per capita (constant 2010 US$)",2014,1761.34355836094,"Angola","Has received IMF money",5845.02384617927,"Namibia","Angola has received IMF money"
"64","Adjusted net national income per capita (constant 2010 US$)",2015,1785.90219870053,"Angola","Has received IMF money",6039.51067328143,"Namibia","Angola has received IMF money"
"65","Adjusted net national income per capita (current US$)",2000,4.33068138176489,"Angola","Has not received IMF money",1973.12152850247,"Namibia","Angola has not received IMF money"
"66","Adjusted net national income per capita (current US$)",2001,109.244335248314,"Angola","Has not received IMF money",1743.75006681906,"Namibia","Angola has not received IMF money"
"67","Adjusted net national income per capita (current US$)",2002,357.799021252648,"Angola","Has not received IMF money",1639.46460993874,"Namibia","Angola has not received IMF money"
"68","Adjusted net national income per capita (current US$)",2003,437.003981001471,"Angola","Has not received IMF money",2440.59128381916,"Namibia","Angola has not received IMF money"
"69","Adjusted net national income per capita (current US$)",2004,440.752797501964,"Angola","Has not received IMF money",3109.60398404571,"Namibia","Angola has not received IMF money"
"70","Adjusted net national income per capita (current US$)",2005,563.934595548885,"Angola","Has not received IMF money",3246.67520372086,"Namibia","Angola has not received IMF money"
"71","Adjusted net national income per capita (current US$)",2006,856.912210063052,"Angola","Has not received IMF money",3525.09926971933,"Namibia","Angola has not received IMF money"
"72","Adjusted net national income per capita (current US$)",2007,819.694989192309,"Angola","Has not received IMF money",3703.72607723022,"Namibia","Angola has not received IMF money"
"73","Adjusted net national income per capita (current US$)",2008,367.194821038533,"Angola","Has not received IMF money",3609.66551651589,"Namibia","Angola has not received IMF money"
"74","Adjusted net national income per capita (current US$)",2009,735.380804655805,"Angola","Has not received IMF money",3704.44877343537,"Namibia","Angola has not received IMF money"
"75","Adjusted net national income per capita (current US$)",2010,1108.33871700032,"Angola","Has received IMF money",4509.12949169196,"Namibia","Angola has received IMF money"
"76","Adjusted net national income per capita (current US$)",2011,1494.24037701675,"Angola","Has received IMF money",4907.79140439769,"Namibia","Angola has received IMF money"
"77","Adjusted net national income per capita (current US$)",2012,1789.73361521695,"Angola","Has received IMF money",5041.94505706981,"Namibia","Angola has received IMF money"
"78","Adjusted net national income per capita (current US$)",2013,2113.86612095907,"Angola","Has received IMF money",5005.24958989805,"Namibia","Angola has received IMF money"
"79","Adjusted net national income per capita (current US$)",2014,2498.70195078394,"Angola","Has received IMF money",4952.82961527177,"Namibia","Angola has received IMF money"
"80","Adjusted net national income per capita (current US$)",2015,2341.46054260483,"Angola","Has received IMF money",4378.25235054741,"Namibia","Angola has received IMF money"
"81","Adjusted net savings, excluding particulate emission damage (% of GNI)",2000,-49.8532201828456,"Angola","Has not received IMF money",23.252876848802,"Namibia","Angola has not received IMF money"
"82","Adjusted net savings, excluding particulate emission damage (% of GNI)",2001,-56.4452095151764,"Angola","Has not received IMF money",17.584421678038,"Namibia","Angola has not received IMF money"
"83","Adjusted net savings, excluding particulate emission damage (% of GNI)",2002,-20.3792197458809,"Angola","Has not received IMF money",21.0772726020264,"Namibia","Angola has not received IMF money"
"84","Adjusted net savings, excluding particulate emission damage (% of GNI)",2003,-20.0956467795734,"Angola","Has not received IMF money",19.9182566540626,"Namibia","Angola has not received IMF money"
"85","Adjusted net savings, excluding particulate emission damage (% of GNI)",2004,-22.144486687729,"Angola","Has not received IMF money",25.088482588759,"Namibia","Angola has not received IMF money"
"86","Adjusted net savings, excluding particulate emission damage (% of GNI)",2005,-18.980048755121,"Angola","Has not received IMF money",25.6815130093676,"Namibia","Angola has not received IMF money"
"87","Adjusted net savings, excluding particulate emission damage (% of GNI)",2006,-11.787160782041,"Angola","Has not received IMF money",30.3378673871632,"Namibia","Angola has not received IMF money"
"88","Adjusted net savings, excluding particulate emission damage (% of GNI)",2007,-21.4380043058914,"Angola","Has not received IMF money",22.8884842582125,"Namibia","Angola has not received IMF money"
"89","Adjusted net savings, excluding particulate emission damage (% of GNI)",2008,-41.3114526245236,"Angola","Has not received IMF money",22.8390327250141,"Namibia","Angola has not received IMF money"
"90","Adjusted net savings, excluding particulate emission damage (% of GNI)",2009,-40.9813715055026,"Angola","Has not received IMF money",13.074742353745,"Namibia","Angola has not received IMF money"
"91","Adjusted net savings, excluding particulate emission damage (% of GNI)",2010,-22.2207920110944,"Angola","Has received IMF money",14.044999616687,"Namibia","Angola has received IMF money"
"92","Adjusted net savings, excluding particulate emission damage (% of GNI)",2011,-20.1716076699039,"Angola","Has received IMF money",8.76676005088819,"Namibia","Angola has received IMF money"
"93","Adjusted net savings, excluding particulate emission damage (% of GNI)",2012,-18.6902122757006,"Angola","Has received IMF money",12.5795481945716,"Namibia","Angola has received IMF money"
"94","Adjusted net savings, excluding particulate emission damage (% of GNI)",2013,-19.3593665605601,"Angola","Has received IMF money",12.0612671948338,"Namibia","Angola has received IMF money"
"95","Adjusted net savings, excluding particulate emission damage (% of GNI)",2014,-16.1583761645338,"Angola","Has received IMF money",12.4020067475719,"Namibia","Angola has received IMF money"
"96","Adjusted net savings, excluding particulate emission damage (% of GNI)",2015,-11.6080083802957,"Angola","Has received IMF money",4.39771414276226,"Namibia","Angola has received IMF money"
"97","Adjusted net savings, excluding particulate emission damage (current US$)",2000,-3713434168.15823,"Angola","Has not received IMF money",916599509.262244,"Namibia","Angola has not received IMF money"
"98","Adjusted net savings, excluding particulate emission damage (current US$)",2001,-4162877345.64015,"Angola","Has not received IMF money",623483279.191936,"Namibia","Angola has not received IMF money"
"99","Adjusted net savings, excluding particulate emission damage (current US$)",2002,-2781954743.08149,"Angola","Has not received IMF money",715581083.289204,"Namibia","Angola has not received IMF money"
"100","Adjusted net savings, excluding particulate emission damage (current US$)",2003,-3232630722.2541,"Angola","Has not received IMF money",1027828516.82524,"Namibia","Angola has not received IMF money"
"101","Adjusted net savings, excluding particulate emission damage (current US$)",2004,-4664400552.29808,"Angola","Has not received IMF money",1678487728.36946,"Namibia","Angola has not received IMF money"
"102","Adjusted net savings, excluding particulate emission damage (current US$)",2005,-6252033392.57135,"Angola","Has not received IMF money",1835945692.77203,"Namibia","Angola has not received IMF money"
"103","Adjusted net savings, excluding particulate emission damage (current US$)",2006,-5446038579.08442,"Angola","Has not received IMF money",2404852259.7406,"Namibia","Angola has not received IMF money"
"104","Adjusted net savings, excluding particulate emission damage (current US$)",2007,-12362744090.3153,"Angola","Has not received IMF money",1963487683.20513,"Namibia","Angola has not received IMF money"
"105","Adjusted net savings, excluding particulate emission damage (current US$)",2008,-30909671505.4703,"Angola","Has not received IMF money",1906646854.38965,"Namibia","Angola has not received IMF money"
"106","Adjusted net savings, excluding particulate emission damage (current US$)",2009,-26016624243.7753,"Angola","Has not received IMF money",1138655955.52165,"Namibia","Angola has not received IMF money"
"107","Adjusted net savings, excluding particulate emission damage (current US$)",2010,-16823946886.5971,"Angola","Has received IMF money",1523795737.13906,"Namibia","Angola has received IMF money"
"108","Adjusted net savings, excluding particulate emission damage (current US$)",2011,-20575039823.302,"Angola","Has received IMF money",1058598092.59762,"Namibia","Angola has received IMF money"
"109","Adjusted net savings, excluding particulate emission damage (current US$)",2012,-22054450485.3267,"Angola","Has received IMF money",1571824449.65785,"Namibia","Angola has received IMF money"
"110","Adjusted net savings, excluding particulate emission damage (current US$)",2013,-24586395531.9113,"Angola","Has received IMF money",1523563457.07663,"Namibia","Angola has received IMF money"
"111","Adjusted net savings, excluding particulate emission damage (current US$)",2014,-22136975345.4113,"Angola","Has received IMF money",1582441973.11031,"Namibia","Angola has received IMF money"
"112","Adjusted net savings, excluding particulate emission damage (current US$)",2015,-12768809218.3252,"Angola","Has received IMF money",510032825.90591,"Namibia","Angola has received IMF money"
"113","Adjusted net savings, including particulate emission damage (% of GNI)",2000,-52.4136250585371,"Angola","Has not received IMF money",22.2013974000222,"Namibia","Angola has not received IMF money"
"114","Adjusted net savings, including particulate emission damage (% of GNI)",2001,-58.8822918874775,"Angola","Has not received IMF money",16.5764432706685,"Namibia","Angola has not received IMF money"
"115","Adjusted net savings, including particulate emission damage (% of GNI)",2002,-22.4041206225811,"Angola","Has not received IMF money",20.1642243080305,"Namibia","Angola has not received IMF money"
"116","Adjusted net savings, including particulate emission damage (% of GNI)",2003,-22.0488058657272,"Angola","Has not received IMF money",19.1028504764047,"Namibia","Angola has not received IMF money"
"117","Adjusted net savings, including particulate emission damage (% of GNI)",2004,-24.0154118421857,"Angola","Has not received IMF money",24.3455292939729,"Namibia","Angola has not received IMF money"
"118","Adjusted net savings, including particulate emission damage (% of GNI)",2005,-20.5700960039884,"Angola","Has not received IMF money",24.9403379443448,"Namibia","Angola has not received IMF money"
"119","Adjusted net savings, including particulate emission damage (% of GNI)",2006,-13.1882390162377,"Angola","Has not received IMF money",29.6569445549435,"Namibia","Angola has not received IMF money"
"120","Adjusted net savings, including particulate emission damage (% of GNI)",2007,-22.6364397947194,"Angola","Has not received IMF money",22.2208708013513,"Namibia","Angola has not received IMF money"
"121","Adjusted net savings, including particulate emission damage (% of GNI)",2008,-42.4260551226907,"Angola","Has not received IMF money",22.1994846919112,"Namibia","Angola has not received IMF money"
"122","Adjusted net savings, including particulate emission damage (% of GNI)",2009,-42.0304834092454,"Angola","Has not received IMF money",12.4442956923452,"Namibia","Angola has not received IMF money"
"123","Adjusted net savings, including particulate emission damage (% of GNI)",2010,-23.2303963822525,"Angola","Has received IMF money",13.4315366564796,"Namibia","Angola has received IMF money"
"124","Adjusted net savings, including particulate emission damage (% of GNI)",2011,-21.1173803181277,"Angola","Has received IMF money",8.18680118339309,"Namibia","Angola has received IMF money"
"125","Adjusted net savings, including particulate emission damage (% of GNI)",2012,-19.5352512682127,"Angola","Has received IMF money",12.0226276288219,"Namibia","Angola has received IMF money"
"126","Adjusted net savings, including particulate emission damage (% of GNI)",2013,-20.1318760369912,"Angola","Has received IMF money",11.5308923552194,"Namibia","Angola has received IMF money"
"127","Adjusted net savings, including particulate emission damage (% of GNI)",2014,-16.8180828672288,"Angola","Has received IMF money",11.9500800991167,"Namibia","Angola has received IMF money"
"128","Adjusted net savings, including particulate emission damage (% of GNI)",2015,-12.2458841818932,"Angola","Has received IMF money",3.98433484927717,"Namibia","Angola has received IMF money"
"129","Adjusted net savings, including particulate emission damage (current US$)",2000,-3904151937.53881,"Angola","Has not received IMF money",875151496.054341,"Namibia","Angola has not received IMF money"
"130","Adjusted net savings, including particulate emission damage (current US$)",2001,-4342614033.38127,"Angola","Has not received IMF money",587743822.172073,"Namibia","Angola has not received IMF money"
"131","Adjusted net savings, including particulate emission damage (current US$)",2002,-3058372715.3321,"Angola","Has not received IMF money",684582761.084552,"Namibia","Angola has not received IMF money"
"132","Adjusted net savings, including particulate emission damage (current US$)",2003,-3546820264.72597,"Angola","Has not received IMF money",985751655.544242,"Namibia","Angola has not received IMF money"
"133","Adjusted net savings, including particulate emission damage (current US$)",2004,-5058482584.85168,"Angola","Has not received IMF money",1628782132.04102,"Namibia","Angola has not received IMF money"
"134","Adjusted net savings, including particulate emission damage (current US$)",2005,-6775795403.08795,"Angola","Has not received IMF money",1782959828.28179,"Namibia","Angola has not received IMF money"
"135","Adjusted net savings, including particulate emission damage (current US$)",2006,-6093380738.64641,"Angola","Has not received IMF money",2350876191.12394,"Namibia","Angola has not received IMF money"
"136","Adjusted net savings, including particulate emission damage (current US$)",2007,-13053850923.1029,"Angola","Has not received IMF money",1906216490.1938,"Namibia","Angola has not received IMF money"
"137","Adjusted net savings, including particulate emission damage (current US$)",2008,-31743629037.5535,"Angola","Has not received IMF money",1853256141.20891,"Namibia","Angola has not received IMF money"
"138","Adjusted net savings, including particulate emission damage (current US$)",2009,-26682642709.8894,"Angola","Has not received IMF money",1083751481.97873,"Namibia","Angola has not received IMF money"
"139","Adjusted net savings, including particulate emission damage (current US$)",2010,-17588344947.1324,"Angola","Has received IMF money",1457238793.80201,"Namibia","Angola has received IMF money"
"140","Adjusted net savings, including particulate emission damage (current US$)",2011,-21539727924.4903,"Angola","Has received IMF money",988567277.638427,"Namibia","Angola has received IMF money"
"141","Adjusted net savings, including particulate emission damage (current US$)",2012,-23051596496.4909,"Angola","Has received IMF money",1502236786.55399,"Namibia","Angola has received IMF money"
"142","Adjusted net savings, including particulate emission damage (current US$)",2013,-25567482566.9788,"Angola","Has received IMF money",1456567202.77465,"Namibia","Angola has received IMF money"
"143","Adjusted net savings, including particulate emission damage (current US$)",2014,-23040773528.1034,"Angola","Has received IMF money",1524778103.71896,"Namibia","Angola has received IMF money"
"144","Adjusted net savings, including particulate emission damage (current US$)",2015,-13470472600.0825,"Angola","Has received IMF money",462090417.103786,"Namibia","Angola has received IMF money"
"145","Adjusted savings: carbon dioxide damage (% of GNI)",2000,1.85186380263236,"Angola","Has not received IMF money",0.602503187464621,"Namibia","Angola has not received IMF money"
"146","Adjusted savings: carbon dioxide damage (% of GNI)",2001,2.00640348329515,"Angola","Has not received IMF money",0.864868039797027,"Namibia","Angola has not received IMF money"
"147","Adjusted savings: carbon dioxide damage (% of GNI)",2002,1.4733516838189,"Angola","Has not received IMF money",0.823272099392168,"Namibia","Angola has not received IMF money"
"148","Adjusted savings: carbon dioxide damage (% of GNI)",2003,0.941997683850006,"Angola","Has not received IMF money",0.607025642652605,"Namibia","Angola has not received IMF money"
"149","Adjusted savings: carbon dioxide damage (% of GNI)",2004,1.58399431777311,"Angola","Has not received IMF money",0.52059498064891,"Namibia","Angola has not received IMF money"
"150","Adjusted savings: carbon dioxide damage (% of GNI)",2005,1.09326360366249,"Angola","Has not received IMF money",0.607501021022751,"Namibia","Angola has not received IMF money"
"151","Adjusted savings: carbon dioxide damage (% of GNI)",2006,0.963357427108951,"Angola","Has not received IMF money",0.58814032382143,"Namibia","Angola has not received IMF money"
"152","Adjusted savings: carbon dioxide damage (% of GNI)",2007,0.918190225253311,"Angola","Has not received IMF money",0.579531580825971,"Namibia","Angola has not received IMF money"
"153","Adjusted savings: carbon dioxide damage (% of GNI)",2008,0.760379985629983,"Angola","Has not received IMF money",0.881636102275816,"Namibia","Angola has not received IMF money"
"154","Adjusted savings: carbon dioxide damage (% of GNI)",2009,1.00425238038831,"Angola","Has not received IMF money",0.808465504463528,"Namibia","Angola has not received IMF money"
"155","Adjusted savings: carbon dioxide damage (% of GNI)",2010,0.919388611061176,"Angola","Has received IMF money",0.684996492086926,"Namibia","Angola has received IMF money"
"156","Adjusted savings: carbon dioxide damage (% of GNI)",2011,0.748451540722437,"Angola","Has received IMF money",0.589893560231289,"Namibia","Angola has received IMF money"
"157","Adjusted savings: carbon dioxide damage (% of GNI)",2012,0.747014251334362,"Angola","Has received IMF money",0.71490869151198,"Namibia","Angola has received IMF money"
"158","Adjusted savings: carbon dioxide damage (% of GNI)",2013,0.710377291524385,"Angola","Has received IMF money",0.575702857741685,"Namibia","Angola has received IMF money"
"159","Adjusted savings: carbon dioxide damage (% of GNI)",2014,0.739065126497059,"Angola","Has received IMF money",0.85715441447899,"Namibia","Angola has received IMF money"
"160","Adjusted savings: carbon dioxide damage (% of GNI)",2015,0.962890332531773,"Angola","Has received IMF money",1.03542966880737,"Namibia","Angola has received IMF money"
"161","Adjusted savings: carbon dioxide damage (current US$)",2000,137940423.793059,"Angola","Has not received IMF money",23749926.9251693,"Namibia","Angola has not received IMF money"
"162","Adjusted savings: carbon dioxide damage (current US$)",2001,147973790.48752,"Angola","Has not received IMF money",30665254.2457181,"Namibia","Angola has not received IMF money"
"163","Adjusted savings: carbon dioxide damage (current US$)",2002,201126331.436489,"Angola","Has not received IMF money",27950387.6923899,"Namibia","Angola has not received IMF money"
"164","Adjusted savings: carbon dioxide damage (current US$)",2003,151531855.954048,"Angola","Has not received IMF money",31323939.4791741,"Namibia","Angola has not received IMF money"
"165","Adjusted savings: carbon dioxide damage (current US$)",2004,333644399.838453,"Angola","Has not received IMF money",34829220.275819,"Namibia","Angola has not received IMF money"
"166","Adjusted savings: carbon dioxide damage (current US$)",2005,360121338.209766,"Angola","Has not received IMF money",43429640.7105958,"Namibia","Angola has not received IMF money"
"167","Adjusted savings: carbon dioxide damage (current US$)",2006,445101395.535083,"Angola","Has not received IMF money",46621292.4177063,"Namibia","Angola has not received IMF money"
"168","Adjusted savings: carbon dioxide damage (current US$)",2007,529496618.205088,"Angola","Has not received IMF money",49715092.8887705,"Namibia","Angola has not received IMF money"
"169","Adjusted savings: carbon dioxide damage (current US$)",2008,568924452.712296,"Angola","Has not received IMF money",73600695.8508133,"Namibia","Angola has not received IMF money"
"170","Adjusted savings: carbon dioxide damage (current US$)",2009,637539834.970418,"Angola","Has not received IMF money",70407816.5813748,"Namibia","Angola has not received IMF money"
"171","Adjusted savings: carbon dioxide damage (current US$)",2010,696093332.447951,"Angola","Has received IMF money",74317889.8600412,"Namibia","Angola has received IMF money"
"172","Adjusted savings: carbon dioxide damage (current US$)",2011,763420571.536886,"Angola","Has received IMF money",71230442.4977611,"Namibia","Angola has received IMF money"
"173","Adjusted savings: carbon dioxide damage (current US$)",2012,881476816.574547,"Angola","Has received IMF money",89328403.7876929,"Namibia","Angola has received IMF money"
"174","Adjusted savings: carbon dioxide damage (current US$)",2013,902179160.235969,"Angola","Has received IMF money",72722030.1168285,"Namibia","Angola has received IMF money"
"175","Adjusted savings: carbon dioxide damage (current US$)",2014,1012519223.30097,"Angola","Has received IMF money",109369165.048544,"Namibia","Angola has received IMF money"
"176","Adjusted savings: carbon dioxide damage (current US$)",2015,1059179365.78495,"Angola","Has received IMF money",120085822.512541,"Namibia","Angola has received IMF money"
"177","Adjusted savings: consumption of fixed capital (% of GNI)",2000,51.9550541507626,"Angola","Has not received IMF money",10.0601407304783,"Namibia","Angola has not received IMF money"
"178","Adjusted savings: consumption of fixed capital (% of GNI)",2001,44.1601791989994,"Angola","Has not received IMF money",10.2361800167527,"Namibia","Angola has not received IMF money"
"179","Adjusted savings: consumption of fixed capital (% of GNI)",2002,34.8122358318326,"Angola","Has not received IMF money",10.3846198565429,"Namibia","Angola has not received IMF money"
"180","Adjusted savings: consumption of fixed capital (% of GNI)",2003,33.7193471413504,"Angola","Has not received IMF money",10.9347788061443,"Namibia","Angola has not received IMF money"
"181","Adjusted savings: consumption of fixed capital (% of GNI)",2004,34.5092794837946,"Angola","Has not received IMF money",11.0836035025813,"Namibia","Angola has not received IMF money"
"182","Adjusted savings: consumption of fixed capital (% of GNI)",2005,30.9523317403842,"Angola","Has not received IMF money",11.5907444407902,"Namibia","Angola has not received IMF money"
"183","Adjusted savings: consumption of fixed capital (% of GNI)",2006,26.4173498672106,"Angola","Has not received IMF money",11.0133027216021,"Namibia","Angola has not received IMF money"
"184","Adjusted savings: consumption of fixed capital (% of GNI)",2007,29.1414705597571,"Angola","Has not received IMF money",9.66571365222593,"Namibia","Angola has not received IMF money"
"185","Adjusted savings: consumption of fixed capital (% of GNI)",2008,36.5337761797353,"Angola","Has not received IMF money",10.2400850621357,"Namibia","Angola has not received IMF money"
"186","Adjusted savings: consumption of fixed capital (% of GNI)",2009,46.5904553415703,"Angola","Has not received IMF money",10.5580274550651,"Namibia","Angola has not received IMF money"
