Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
People with basic handwashing facilities including soap and water (% of population),,,,,,,,,,41.66404,42.01862,42.3753,42.73477,43.08865,43.4893464631861,43.8645393685773
"People with basic handwashing facilities including soap and water, urban (% of urban population)",,,,,,,,,,62.41457,62.41457,62.41457,62.41457,62.41457,62.4145683738776,62.4145683738776
"People with basic handwashing facilities including soap and water, rural (% of rural population)",,,,,,,,,,27.48043,27.48043,27.48043,27.48043,27.48043,27.4804268693254,27.4804268693254
Female genital mutilation prevalence (%),,,,,,,,,,,,,,,,
Diabetes prevalence (% of population ages 20 to 79),,,,,,,,,,,,,,,,
Low-birthweight babies (% of births),13.7,,,,,,15.7,16,,,,,,,,
Births attended by skilled health staff (% of total),75.5,,,,,,,81.4,,,,,,88.2,,
Exclusive breastfeeding (% of children under 6 months),16.6,,,,,,23.9,22.091711,,,,,,48.324806,,
People using at least basic sanitation services (% of population),28.1115773119371,28.3919741446772,28.817697517949,29.2640670282494,29.7032531026916,30.1328593303102,30.553950042867,30.9654733958633,31.3676300486649,31.757850716433,32.1383567542634,32.5070482020507,32.8745291022829,33.2299166822037,33.5730818969816,33.9028599771667
"People using at least basic sanitation services, urban (% of urban population)",59.1527132843647,58.6872563321015,58.223356703852,57.7610143996161,57.3002294193939,56.8410017631855,56.3833314309906,55.9272184228095,55.472662738642,55.0196643784882,54.5682233423481,54.1183396302216,53.6700132421088,53.2232441780098,52.7780324379242,52.3343780218525
"People using at least basic sanitation services, rural (% of rural population)",13.2522040160845,13.5391507007951,13.8267356399385,14.1149588335145,14.4038202815231,14.6933199839644,14.9834579408385,15.2742341521451,15.5656486178845,15.8577013380564,16.1503923126611,16.4437215416984,16.7376890251684,17.032294763071,17.3275387554064,17.6234210021744
ARI treatment (% of children under 5 taken to a health provider),53.1,,,,,,,71.5,,,,,,67.7,,
Pregnant women receiving prenatal care (%),90.6,,,,,,,94.6,,,,,,96.6,,
"Mortality rate attributed to household and ambient air pollution, age-standardized (per 100,000 population)",,,,,,,,,,,,,,,,
"Mortality rate attributed to household and ambient air pollution, age-standardized, male (per 100,000 male population)",,,,,,,,,,,,,,,,
"Mortality rate attributed to household and ambient air pollution, age-standardized, female (per 100,000 female population)",,,,,,,,,,,,,,,,
"Number of surgical procedures (per 100,000 population)",,,,,,,,,,,,,,,,
Risk of impoverishing expenditure for surgical care (% of people at risk),,,,36.9,35.4,35.3,35.5,34.3,32.7,28.2,30,28.7,27.9,26.7,26.2,24.8
Risk of catastrophic expenditure for surgical care (% of people at risk),,,,20,16.9,17.1,14.9,21.3,19.2,19.5,20.9,21.1,20.6,19,17.6,15.8
Final consumption expenditure (constant 2010 US$),6197449024.75004,6654044405.28875,6537632177.78506,6994537466.53554,7180244290.55346,7115899606.62187,7773546495.11009,8370310154.0731,9377023834.89046,10404365746.0526,10015713749.1122,10841125949.2979,11686757157.2966,12644391780.0361,13437393023.0017,15141300633.7759
Final consumption expenditure (current LCU),22857149000,26720251900,29409864700,32816960700,34609422800,35639333100,40866496000,49864195600,59359335300,70950056800,73327043500,80711861600,96198194400,112719494100,126429265600,144773437500
Final consumption expenditure (current US$),3293632237.24027,3103685812.85137,2790124441.45076,4338170806.50918,5357744601.14247,5604285550.29642,6035072878.97807,7077553524.28535,7185316334.18874,8372972467.75317,10015713749.1122,11115652118.825,11717197856.2728,11674606591.3352,11649567904.761,11238515863.3431
Households and NPISHs final consumption expenditure (% of GDP),61.9444472997756,65.9890007958175,63.1277314614193,67.3982465764841,61.9090518462724,59.033040553798,57.1868762622267,57.1089582351476,62.869029369779,70.472168155918,63.2204357552496,66.3838405742172,65.0490285511202,65.8087763963861,64.8690915400351,70.8367038496639
"Households and NPISHs Final consumption expenditure, PPP (constant 2011 international $)",6402509009.31653,6978819232.91193,6876663055.83135,7447851539.71795,7589479722.84059,7649342821.45445,8314622043.49567,8822823234.3961,9950998420.1165,11334836565.0532,10708224072.4417,11658610935.6783,12777414584.0955,13985484447.1343,14945850034.8523,16864147745.1599
"Households and NPISHs Final consumption expenditure, PPP (current international $)",,,5700865996.48512,6125324005.95031,6379776088.55912,6652651430.85813,7425202524.44016,8308463666.7296,9911371253.41634,10850799949.5727,10360264896.0196,11658610935.6783,12957915875.7932,14473201824.2932,15551827392.6574,17785648635.3583
Households and NPISHs Final consumption expenditure per capita growth (annual %),3.9904196621895,7.26194459346563,-2.94600545203419,6.71575853628181,0.372442232073908,-0.801074668517401,6.87777326261765,4.25078616886891,10.7513833496166,11.845742337408,-7.21488323455203,6.9657033990087,7.69470006581392,7.55693366874385,4.99035889693724,10.8134252966359
Households and NPISHs Final consumption expenditure per capita (constant 2010 US$),2376.41944368462,2548.99370699334,2473.90021341331,2640.0413781747,2649.87400721125,2628.64653779186,2809.43888653683,2928.86212614856,3243.75532111252,3628.00221850747,3366.2460946952,3600.72881333239,3877.79409570165,4170.83642332429,4378.97612985236,4852.49344241146
Households and NPISHs Final consumption expenditure (constant LCU),31222380600,34032806500,33534633200,36320082500,37010744400,37302671900,40546962700,43025249100,48526891500,55275296100,52219566900,56854209400,62310150700,68201406300,72884710900,82239453100
Households and NPISHs Final consumption expenditure (annual % growth),5.80108240148165,9.00131843245804,-1.46380316886298,8.30618687071252,1.90159782814369,0.788764194648309,8.69720755847518,6.11213820955324,12.7870088264056,13.9065256219842,-5.52820050836417,8.87529861914653,9.59637176838484,9.45472853751259,6.86687394597026,12.8349856704995
Households and NPISHs Final consumption expenditure (constant 2010 US$),4264653417.47255,4648528451.61995,4580483144.83964,4960946634.43151,5055283887.88723,5095158157.13271,5538294637.49112,5876802860.18685,6628270160.6294,7550032248.81167,7132651327.6512,7765695432.44277,8510920436.54046,9315604859.85904,9955295702.89024,11233056479.8121
Households and NPISHs Final consumption expenditure (current LCU),16481651700,19750161100,21796650700,24533832000,25916187500,26734333100,30340496000,35169349500,44077795300,53005063900,52219566900,59816861100,69513734000,80807609400,90014601600,106313562500
Households and NPISHs Final consumption expenditure (current US$),2374946208.82446,2294076232.40255,2067856091.15144,3243199598.13344,4011980045.51295,4203974195.27306,4480616702.35546,4991817285.03705,5335519694.47538,6255244332.46398,7132651327.6512,8237988885.98146,8466959074.29963,8369422315.66737,8294212647.54393,8252941142.22281
General government final consumption expenditure (% of GDP),23.9615946082462,23.2883835741532,22.0494855782174,22.7550408981097,20.7665558408059,19.6634501472405,19.839789683603,23.8618957736714,21.7963621033344,23.8585232638185,25.5540966967248,23.1889531332926,24.9705795754093,25.9886674879214,26.2422555553757,25.6258064484491
General government final consumption expenditure (constant LCU),14309518900,14725576500,14346314600,14796287800,15531477900,14612147900,16216804400,18255465700,20124175400,20897146400,21107476500,22515841900,23250935800,24370714800,25493130900,28613037100
General government final consumption expenditure (annual % growth),1.26982045644274,2.90755826878288,-2.57553176271232,3.13650726716949,4.96874695827422,-5.91914050883722,10.9816606770043,12.5712887059302,10.2364394900098,3.84100707053069,1.006501538411,6.6723532772854,3.26478531544497,4.8160599196184,4.60559367753955,12.2382229638181
General government final consumption expenditure (constant 2010 US$),1954531893.67863,2011361047.36928,1959557804.73146,2021019477.68125,2121438821.50467,1995867876.85079,2215047314.64787,2493507307.54521,2748753674.26105,2854333497.24089,2883062407.802,3075430516.85516,3175836720.75616,3328786920.17702,3482097320.11146,3908244153.96383
General government final consumption expenditure (current LCU),6375497300,6970090800,7613214100,8283128700,8693235300,8905000000,10526000000,14694846100,15281540000,17944992800,21107476500,20895000600,26684460400,31911884800,36414664100,38459875000
General government final consumption expenditure (current US$),918686028.415805,809609580.448822,722268359.786352,1094971208.37575,1345764555.62952,1400311355.02335,1554456176.62261,2085736239.2483,1849796639.71336,2117728123.48797,2883062407.802,2877663246.61553,3250238781.9732,3305184286.025,3355355266.4314,2985574721.12033
Arms exports (SIPRI trend indicator values),,,,,,,,,,,,,,,,
Military expenditure (% of general government expenditure),7.78847321753917,8.80922165820643,8.7023831863389,8.37180473625716,8.82774140752864,9.46420269642027,9.45974798739937,10.0091837370027,11.0491284472799,10.5574043261231,10.501537348526,9.29145272024462,9.03661272232014,8.3699953315697,10.3508810846303,10.3677554412595
Military expenditure (% of GDP),2.70673279864922,3.00874087986708,2.61784537918538,2.62491288264622,2.5275896811078,2.6452053014553,2.50124939843779,2.61042455712992,3.1372615742466,3.37436368373618,3.51474397546307,3.5745889549471,3.16651318521045,3.06623324211499,4.20342961430471,4.47842580641931
Military expenditure (current LCU),641225000,833000000,927500000,979250000,1078750000,1221450000,1351325000,1607575000,2199550000,2538000000,2903150000,3220975000,3383850000,3765075000,5832825000,6611725000
Military expenditure (current USD),92397796.4878102,96757182.4494319,87992258.5786523,129449089.527083,166997177.883149,192072120.805179,199559185.120098,228174673.579954,266250021.183312,299516030.244274,396539101.406596,443591424.475254,412163503.642522,389958736.662434,537453813.336773,518231065.360875
Armed forces personnel (% of total labor force),1.55029515234631,2.4846695886381,2.41756506070506,2.35343216702465,2.29234067850228,2.23415426090453,2.17280774562505,2.11712500070571,2.06495807446789,2.0407505665768,1.98925540338043,1.94193859130241,1.89258343864979,1.76856675117778,1.73907671044487,1.71873957590101
"Armed forces personnel, total",9100,15000,15000,15000,15000,15000,15000,15000,15000,15200,15200,15200,15200,15200,15200,15200
Arms imports (SIPRI trend indicator values),,21000000,11000000,,16000000,,72000000,6000000,66000000,15000000,3000000,1000000,57000000,9000000,2000000,
Logistics performance index: Ability to track and trace consignments (1=low to 5=high),,,,,,,,1.83,,,2.04,,2.85,,2.559429,
Logistics performance index: Frequency with which shipments reach consignee within scheduled or expected time (1=low to 5=high),,,,,,,,3,,,2.38,,2.52,,3.146642,
Logistics performance index: Overall (1=low to 5=high),,,,,,,,2.16,,,2.02,,2.65,,2.657883,
Logistics performance index: Competence and quality of logistics services (1=low to 5=high),,,,,,,,1.83,,,2.04,,2.65,,2.687787,
"Net official flows from UN agencies, UNFPA (current US$)",440000,550000,1180000,810000,930000,760000,570000,620000,1320000,1360000,1300000,1520000,1760000,1560000,1210000,970000
"Net official flows from UN agencies, UNECE (current US$)",,,,,,,,,,,,,,,,
"Net official flows from UN agencies, UNDP (current US$)",980000,340000,-150000,60000,820000,670000,1010000,1100000,1710000,1660000,1140000,680000,630000,590000,790000,490000
"Net official flows from UN agencies, UNHCR (current US$)",2560000,2520000,4420000,4060000,3910000,940000,590000,890000,1060000,1220000,1010000,3240000,2990000,2980000,,450000
"Net official flows from UN agencies, UNICEF (current US$)",780000,780000,1190000,770000,1090000,1110000,1530000,770000,1250000,1120000,800000,910000,800000,880000,1220000,1240000
"Net official flows from UN agencies, UNAIDS (current US$)",,,,,,290000,220000,960000,440000,770000,550000,1640000,840000,1050000,720000,640000
"Net financial flows, RDB nonconcessional (NFL, current US$)",,,,,,,,,,,,,,,,
"Net financial flows, RDB concessional (NFL, current US$)",,,,,,,,,,,,,,,,
"PPG, private creditors (NFL, current US$)",,,,,,,,,,,,,,,,
"PPG, other private creditors (NFL, current US$)",,,,,,,,,,,,,,,,
"PNG, commercial banks and other creditors (NFL, current US$)",,,,,,,,,,,,,,,,
"PNG, bonds (NFL, current US$)",,,,,,,,,,,,,,,,
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",,,,,,,,,,,,,,,,
"PPG, commercial banks (NFL, current US$)",,,,,,,,,,,,,,,,
"PPG, bonds (NFL, current US$)",,,,,,,,,,,,,,,,
"PPG, official creditors (NFL, current US$)",,,,,,,,,,,,,,,,
"IFC, private nonguaranteed (NFL, current US$)",,,,,,,,,,,,,,,,
"Net financial flows, others (NFL, current US$)",,,,,,,,,,,,,,,,
"Net financial flows, multilateral (NFL, current US$)",,,,,,,,,,,,,,,,
"Net financial flows, IDA (NFL, current US$)",,,,,,,,,,,,,,,,
"Net financial flows, IBRD (NFL, current US$)",,,,,,,,,,,,,,,,
"Net financial flows, IMF nonconcessional (NFL, current US$)",,,,,,,,,,,,,,,,
"Presence of peace keepers (number of troops, police, and military observers in mandate)",,,,,,,,,,,,,,,,
"Intentional homicides (per 100,000 people)",20,18.3,17.6,,17.5,,,,16.8,18.2,14.4,13.9,17.1,,,
"Intentional homicides, male (per 100,000 male)",,,,,,,,,,,,,,,,
"Intentional homicides, female (per 100,000 female)",,,,,,,,,,,,,,,,
"Internally displaced persons, total displaced by conflict and violence (number of people)",,,,,,,,,,,,,,,,
"Internally displaced persons, new displacement associated with disasters (number of cases)",,,,,,,,,,55000,11000,60000,400,18000,160,8
"Internally displaced persons, new displacement associated with conflict and violence (number of cases)",,,,,,,,,,,,,,,,
Battle-related deaths (number of people),57,,5,,,,,,,,,,,,,
Travel services (% of commercial service exports),68.3405641006596,82.0053059083801,81.8153711482791,83.4342484210429,88.8490676528709,89.2972280752445,75.4426368396267,74.9252317537342,71.08587311341,67.4769405701628,49.2913329599282,34.9487324276729,59.0043544831146,46.2547458244463,54.8287429370026,59.2087562691782
Transport services (% of commercial service exports),22.9490132102554,13.6259432578189,13.8713718012413,13.5693664184496,5.60614392030759,5.75358194795252,20.0868982798171,20.6767209687939,21.400241314761,20.9774745903414,26.9211762384022,36.8823399907213,17.2225182945657,26.2756236546818,13.4261975029977,10.6051252085996
High-technology exports (% of manufactured exports),,,,,,,,5.42577672568394,1.14319268221222,1.63275842237117,1.98301803245111,1.82710977694117,5.37235904897261,2.81891379666504,3.67546887698659,0.439186325612408
High-technology exports (current US$),,,,,,,,85745572,23868952,44645778,50444955,48113447,108419186,72295515,114014386,6256557
Commercial service exports (current US$),163427987.404355,271243518.132439,258461191.53402,398534891.75516,455598249.720846,390859596.291014,505476098.564484,579313034.973782,538024484.36008,591023104.736399,650498962.522365,761460762.43847,868110813.867097,532992392.663438,824178675.979946,785455079.613106
"Computer, communications and other services (% of commercial service exports)",8.25519532762132,4.05685169194803,3.74253076174544,2.99946912519241,5.54108588729227,4.91033316548986,4.13641129073149,3.5188600521838,4.03966070848024,9.06465557532685,20.2012613543232,25.6413196194768,22.1481551286514,23.0481623092064,28.6648419249467,27.0960735638998
Export value index (2000 = 100),100,89.28503813,81.15169369,95.57058365,138.3577308,156.7599906,200.4301434,221.2527168,237.8302751,238.268673,304.8503207,333.7174079,332.3621534,350.5454036,349.268832,307.9971071
Merchandise exports to low- and middle-income economies within region (% of total merchandise exports),32.4478003161618,35.7072993335239,39.0449380367181,56.607206112542,35.2435649443257,35.8826464547659,30.5806406103264,35.0006945415888,39.9973515367631,48.9040153278251,41.777485262433,40.3717524498715,39.007701317671,53.0066786871541,42.0923057613353,51.2979105108892
Merchandise exports by the reporting economy (current US$),1393248860,1482714369,1382612449,1404411455,2676488654,2939717580,3701420727,4408080163,5163462271,6163870966,5989315425,6058301326,5548914332,6545892627,6246227144,4942681561
"Merchandise exports by the reporting economy, residual (% of total merchandise exports)",5.44922713950758,8.26170364037255,8.37080478218665,8.57289055649293,7.46647435629294,7.33305078238162,7.63612363593921,7.86617906612693,8.09105362009529,6.46932163569889,6.89900023089868,6.95021375369601,7.85919037324219,7.18968197032114,8.28718258344529,9.09651217565056
Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports),32.4478003161618,35.7072993335239,39.0449380367181,56.607206112542,35.2435649443257,35.8826464547659,30.5806406103264,35.0006945415888,39.9973515367631,48.9040153278251,41.777485262433,40.3717524498715,39.007701317671,53.0066786871541,42.0923057613353,51.2979105108892
Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports),0.0117050158576839,0.00200227370967092,0.0148215069340808,0.00330159653959815,0.0133689339375769,0.0811630347157362,0.0562027165630015,0.017537022273068,0.0136486908010952,0.587660290096994,0.185216393073838,0.215386612481612,0.205230777024726,0.21002759720336,0.182194414926644,0.469329608102584
Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports),0.0687957498131382,0.0431582787203703,0.0518024411336687,0.145924827991381,0.0727456100772247,0.0503987869474183,0.0224710472368844,0.0199535391253274,0.0257511516539558,0.0632741344118526,0.0232294995550347,0.051696850840991,0.0312986089906713,0.102191945104754,0.0244260729689532,0.0174049043901172
Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports),0.616068115785144,0.171986530468432,0.162140735939519,0.117555292939419,0.115095387959003,0.0166205081509905,0.0654597296201935,0.016407006525666,0.0281156891211068,0.0219352580133164,0.0781794356739861,0.273616251619241,0.139690010265597,0.0677610412016922,0.729557602524485,0.0524334203613082
Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports),0.326698203793973,0.0839320793012427,0.206836847308034,0.504030423192468,1.04110480566976,0.116019580357104,0.176471724825893,0.254341767513814,0.0916456391397926,0.2119786587369,0.0947352843751755,0.190963132691165,0.157925108871549,0.125689473824606,0.112181383072674,0.0820234107733974
Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports),0.316573810080132,0.571563827611358,0.353037686267788,0.559615557963389,1.68614875062347,3.28256519117731,4.02736897517784,2.932420219691,7.07659715172537,8.85216087438778,3.42892508453919,2.33197124734763,4.33656828349824,2.60247904613239,3.50940161070774,3.71550041679895
Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports),1.33984089533007,0.872642989811074,0.78863921758309,1.33042769862625,2.92846348826704,3.54676710134856,4.34797419342381,3.24065955512888,7.23575832244132,9.73700921564684,3.81028569721722,3.06363409498064,4.87071278865078,3.1081491034668,4.55776108420049,4.33669176042636
Merchandise exports to high-income economies (% of total merchandise exports),60.7631316490006,55.1583540362925,51.7956179635122,33.4894756323388,54.3614972111143,53.2375356615039,57.4352615603106,53.8924668371554,44.6758365207003,34.8896538208292,47.5132288094511,49.6143997014519,48.262395520436,36.695490239058,45.0627505710189,35.2688855530339
Merchandise exports (current US$),1320000000,1179000000,1072000000,1262000000,1827000000,2070000000,2647000000,2922000000,3141000000,3146000000,4026000000,4407000000,4389000000,4629000000,4612000000,4067000000
Merchandise exports to economies in the Arab World (% of total merchandise exports),0.0706019597963281,0.100283171937076,0.309025497570939,0.166093703643282,0.0876170349721199,0.624433011010534,1.38039849475344,0.608027213864441,0.249399420856154,0.123128859151397,0.512421885010339,0.249000556232815,0.105090899788647,0.196527941001315,0.222141281130458,0.682292832014391
Ores and metals exports (% of merchandise exports),11.09437000323,9.3863517652878,10.8740752135209,7.34744238382045,19.6799822966301,14.7892479543474,26.0325395114133,34.9949695723545,31.300994989262,26.7738973623041,27.7620815446874,27.559835558741,29.2501854691304,27.5068409556077,24.8310796857001,28.0066601936643
Manufactures exports (% of merchandise exports),55.8428944380314,51.7359476247163,48.885665611663,40.6359561349868,48.5260343413451,52.2974486992462,46.5255340480728,39.6558190961718,44.6837934110709,47.2246811489051,44.3219623229755,45.4272829977856,40.9297088245627,45.624867930335,52.6577777222469,39.3786085212889
Insurance and financial services (% of commercial service exports),0.455227361463674,0.311899141852967,0.570726288734181,-0.00308396468488493,0.00370253952924125,0.0388568113131142,0.334053589824679,0.879187225288189,3.47422486334875,2.48092926416897,3.58622944734638,2.52760796212895,1.62497209366835,4.42146821166544,3.08021763505304,3.09004495832242
ICT goods exports (% of total goods exports),0.4107963111,0.3785396669,0.7301597401,2.2330618602,0.716102138,0.5404966158,0.442769088,0.4456278048,0.5411163052,0.6997203268,0.5228730587,0.6267381579,0.6465783917,0.6415731255,0.8675800071,0.5905627275
Fuel exports (% of merchandise exports),2.10963234222374,0.674477591804686,0.665376340108576,1.01331691415786,0.507457652733503,0.426442024792461,0.465437618410205,0.431613812331256,0.479356181188741,0.840594566617896,1.30244723790398,1.31809071403106,0.993092669781613,1.26159644176586,1.48102268620215,2.81849503188558
Food exports (% of merchandise exports),29.0609095460865,36.3143471040129,37.4737327457924,48.2610395237598,29.719436732042,31.2084508490234,25.9098443335316,23.8826902694703,22.54509783906,24.0497438546895,25.2544863156199,24.7339287086694,27.6983800132435,24.1317112080506,19.6694493814949,28.4904093620561
Agricultural raw materials exports (% of merchandise exports),0.979629713562354,0.915782184682657,0.998705302153917,1.16654824340787,0.746838494828083,0.714029910272761,0.655474327141121,0.507908097343959,0.428532610734398,0.392652301331054,0.716165972192345,0.715098986678333,0.887583120700909,0.887673896611463,0.765085761510829,1.09118996727331
Export unit value index (2000 = 100),100,98.6383937,97.86105848,101.5566544,110.5355601,118.7482442,152.7650249,172.3055864,172.4420408,158.367294,173.9535127,193.5985435,190.9025802,181.0989466,182.2505462,168.1104612
Export volume index (2000 = 100),100,90.51753053,82.92541992,94.10568337,125.1703349,132.010365,131.2015911,128.4071639,137.9189634,150.4532072,175.2481545,172.375991,174.1003988,193.5656779,191.6421319,183.2111488
Medium and high-tech exports (% manufactured exports),6.97111766310595,8.35551159380895,11.3118330473468,21.0472849612498,16.3275835713062,23.2595810346513,14.394236186215,19.6740581077293,13.7827890417544,17.4979563711671,14.3399192261697,17.2110461878823,10.7341336496369,25.750498833894,34.1949452729464,7.18836016508556
Net barter terms of trade index (2000 = 100),100,100.8214597,101.0195978,99.16235501,101.2422745,105.458582,129.9452567,138.2104878,125.4101185,120.996272,124.731114,125.1695724,124.4080474,122.2570243,124.0746087,128.1677342
Travel services (% of commercial service imports),23.7409923379238,25.5814591079825,28.3027417965702,37.5705031042714,29.8752072993417,30.0978193726633,28.1470387751786,26.2353476461471,19.7744574820045,7.06978461440634,5.52388940161963,7.7968761607047,9.3443668522871,6.14240715526666,6.15626551388471,10.0366672087008
Transport services (% of commercial service imports),29.4761907994212,31.501573024828,32.8354767961682,22.7331545849681,32.973903170835,36.3620047875131,35.6481207070932,47.8300036721707,41.1887007858726,24.3238933453628,21.9685929200535,24.6885847531036,32.314711304013,23.6985286615173,23.6039834172836,25.5188897940245
Commercial service imports (current US$),307957371.194097,261454848.577391,222674005.778925,268831728.285502,410969357.952613,359468250.575657,420196273.971212,503936056.634691,578034395.372568,496358738.922949,642309334.995054,588681630.484151,510853281.307209,668052595.672722,804690260.860681,625694517.573654
"Computer, communications and other services (% of commercial service imports)",40.2867913477514,36.8448943835342,32.9771727716381,31.1952716620505,32.0974823587957,28.2837371389795,30.8451720935054,19.8434191483684,35.8460389511269,61.9008500537995,65.1936857540228,60.2904368519587,53.3151923186167,66.5215206055996,67.2468952591,60.1613073854983
Import value index (2000 = 100),100,99.82255202,94.85400871,127.7625423,154.5814486,166.3154057,186.1025972,227.1334086,280.0451686,321.342152,359.4128085,425.4006775,468.2034522,488.7593483,549.9790691,496.6544134
Merchandise imports from low- and middle-income economies within region (% of total merchandise imports),87.1950652838144,86.6590457530393,79.1366647205225,81.4568532253242,86.7865985985216,84.5745349256246,83.6455240990237,79.2550220637259,69.7739024862209,71.7302788489746,75.2888598501889,80.0870368078219,74.9282761323888,68.2571984447463,62.1628624909509,71.5592901313631
