Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Merchandise exports by the reporting economy, residual (% of total merchandise exports)",TX.VAL.MRCH.RS.ZS,0,0,6.89795956376929E-05,0,1.10467895331767E-05,7.60030968202244E-06,6.43493688228855E-05,0,3.05623738323354E-05,3.39356493891535E-05,2.83403735815927E-05,1.9582346748496E-05,1.86108826655602E-05,1.50019961692361E-05,1.7109257407547E-05,3.00903534270097E-05,3.62335814520558E-05,1.73903226902468E-05,,
Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports),TX.VAL.MRCH.R6.ZS,0.0815409724489062,0.077393410525444,0.227705480809212,0.0988598675823865,0.112018904551894,1.47494220619242,1.32218661305472,4.858124429103,4.78360164032745,3.94065593836605,3.35329342960169,2.74022986184963,4.33750211282451,2.69551603388466,3.40911312978245,4.29632996748359,5.38907266561215,4.32078826715751,,
Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports),TX.VAL.MRCH.R5.ZS,14.2288942654921,15.3453716061295,13.7079708897658,12.1187991687412,9.72098352743838,6.55566015384652,5.02268202825122,1.82158641581795,1.947197107535,9.19252430003143,9.80089100084109,10.3196413364777,9.80880247008039,10.0590001328645,7.63192865265867,8.17657171929416,7.53512056568786,12.3428592631948,,
Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports),TX.VAL.MRCH.R4.ZS,0.00153217133218119,0.000217690794755747,0.00218946800744433,0.002548635266801,0.00899685547498837,0.000472360311206838,0.0066635111389136,0.0889868026099302,0.000434991096850726,0.000693952631368857,0.00696505986148983,0.000333589084552617,0.000168492505032527,0.00553081769998516,0.000515419342117616,0.0046668766394687,0.0106766345394488,0.089658533342836,,
Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports),TX.VAL.MRCH.R3.ZS,11.7585464041848,14.4974932774821,11.1455271402211,9.65746547511274,7.46527786086846,4.59060929108877,4.72970380120172,1.79008877289798,5.33213560611158,1.10368026313147,1.74820619159815,1.58813781671473,1.03621568804987,0.938806974859721,1.74861639702669,0.00397058848861251,0.0165765786064133,0.272289356000449,,
Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports),TX.VAL.MRCH.R2.ZS,8.08620660321425E-05,0.000289749166785446,0.00249094688962419,5.4728053255611E-05,0.000117772696894567,0.00187330815049392,0.00419408494596125,0.000762547850207726,0.000756179021470411,5.10391162056409E-05,0.000904619440698829,0.000297484274138271,0.00107471162755025,0.000347384908554524,0.000207439164940562,0.139649562447549,0.0500943425173343,0.0136386989061399,,
Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports),TX.VAL.MRCH.R1.ZS,20.5805077566317,9.03143433440249,12.4413077907612,20.5038737457289,33.9789242872821,29.5745745930895,35.2896057738619,36.757500884153,36.2093529894086,40.0748643781089,40.7350890068665,37.3674201452699,48.4432913223851,47.9622500095362,48.4797204687994,45.8073218962642,54.2053223263109,62.2454973674135,,
Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports),TX.VAL.MRCH.OR.ZS,46.5695614597069,38.8748066579756,37.2994862356451,42.2827417529029,51.1743003037609,40.7231897064865,45.0528491993997,40.4589254233291,43.4898768731735,50.3718139330193,52.292055878608,49.2758303718209,59.289552684648,58.9659353198689,57.8609883769918,54.132180643134,61.817790447662,74.9639432188577,,
Merchandise exports to high-income economies (% of total merchandise exports),TX.VAL.MRCH.HI.ZS,53.3488975678442,61.047799931499,62.47273930395,57.6183983795147,48.7136697448977,57.8018604870114,53.6248998381768,54.6829501475679,51.7264909241252,45.6874961929652,44.3546223514168,47.9839201839827,36.3729265916449,38.3385336442502,38.7298813839683,41.571459299029,32.7931006531444,20.7152511236621,,
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,7921000000,6534000000,8328000000,9508000000,13475000000,24109000000,31862000000,44396000000,63914000000,40828000000,50595000000,67310000000,71093000000,68247000000,59170000000,33181000000,27589000000,34614000000,42124000000,
Merchandise exports to economies in the Arab World (% of total merchandise exports),TX.VAL.MRCH.AL.ZS,0.696404124148778,0.629407861843525,0.657012963733596,0.709573772252728,0.792280169548306,0.860840219751001,0.836481922126482,1.65859352057746,1.09509236357016,0.756248122096364,0.708278492713787,0.577890238518298,0.929512175042643,1.18113353330699,1.47120979580274,2.01355470157371,2.22146134587495,3.18212948131453,,
Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,,,,,,2.67542615278011,,2.00203146976006,2.03762924921367,1.82030992034358,1.56671569764974,1.7073114724165,2.18366736282803,3.31655533347057,,,,
Manufactures exports (% of merchandise exports),TX.VAL.MANF.ZS.UN,,,,,,,,1.50830017416018,,1.30457458020372,1.37299899135678,1.58421748395462,1.19224008435091,1.53769194578389,1.52831758522687,1.51649754853424,,,,
Insurance and financial services (% of commercial service exports),TX.VAL.INSF.ZS.WT,13.2108650104759,13.6740740740741,,-0.156651020006387,,,,,,,,,,,,,,,,
ICT goods exports (% of total goods exports),TX.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,
Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,,,,,,95.7182156018107,,96.6117753424177,96.5345473732002,96.5567682360772,97.1779242939654,96.6795681306628,96.194403359153,94.994795019191,,,,
Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,,,,,,,,0.0973082531799098,,0.0811537682127195,0.054445159884038,0.0387043596246223,0.0631199240339422,0.0734540911945984,0.0851709530224955,0.143498430350141,,,,
Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,,,,,,,,0.000749818069113222,,0.000464839405761505,0.000379226345312959,,,0.00197435994220663,0.00844073976962238,0.0286536684540127,,,,
Export unit value index (2000 = 100),TX.UVI.MRCH.XD.WD,100,87.879,89.06712408,102.7905866,129.9273014,180.8588036,214.8602586,244.5109743,320.7983983,210.7645477,263.8772137,372.0668713,376.5316738,364.1061286,341.4186757,182.7511745,141.666883,180.2810253,242.696119,
Export volume index (2000 = 100),TX.QTY.MRCH.XD.WD,100,93.86723182,118.043825,116.7765971,130.9327659,168.2904726,187.2145731,229.2278757,251.5265267,244.5566453,242.0610088,228.3918017,238.3675571,236.6314669,218.7930632,229.219196,245.8589561,242.3904379,219.122609,
Medium and high-tech exports (% manufactured exports),TX.MNF.TECH.ZS.UN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Net barter terms of trade index (2000 = 100),TT.PRI.MRCH.XD.WD,100,91.05030772,91.68013493,100.7073278,120.308841,163.5620185,185.1219387,195.0123821,233.8186402,163.8988129,196.0375445,245.8081262,249.8174913,251.5856543,236.8001326,137.5949534,109.7466601,137.0602966,177.6590982,
Travel services (% of commercial service imports),TM.VAL.TRVL.ZS.WT,6.00403410492196,2.090824931198,0.702359728611675,0.436180691595489,0.906556290751166,1.19582766925948,2.15330531664407,1.7664759546949,1.24244734051534,0.727670475238017,0.924034968113293,0.804789141215497,0.750159212460625,0.774256197644794,0.466083327958415,0.882308343674558,4.89928738780908,7.56807180785403,5.67927575197405,
Transport services (% of commercial service imports),TM.VAL.TRAN.ZS.WT,13.7115526899905,12.3585386897077,17.2380788329157,27.3444841034176,20.4792355342916,21.3243410026753,23.7131822913218,20.8792571955464,18.1936938791477,22.8194931053726,19.269994439591,16.1917088854017,20.9494231579041,22.1425708681802,22.7346076722374,24.4744592422942,25.6515352692836,24.0903250232111,33.9757715477635,
Commercial service imports (current US$),TM.VAL.SERV.CD.WT,2270640000,3175780000,2765907583.91,2774308958,4284520155.7,6191176740.86326,6860023952.396,11997403773.13,20451514006.59,18210381473.38,16027654938.47,22415039241.9153,21176642728.7044,21485147958.349,24259915672.2582,16580693671.0852,12122972127.7558,12903387636.2388,9771706536.88377,
"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,77.5072226332664,82.61812845978,77.4360897580045,66.2059504477151,73.1652618632119,75.5476049837513,68.0054038870606,72.6175497928338,70.6124540762441,72.2021509236927,73.0208711203214,80.7971870566523,76.8711938648292,72.7143505482446,74.7174775486407,71.2064430633424,64.2039036036943,62.4080953681747,52.3929109382901,
Import value index (2000 = 100),TM.VAL.MRCH.XD.WD,100,104.5723684,123.6842105,180.2631579,191.8421053,274.7697368,288.7368421,449.375,690.1973684,745.3914474,548.2523026,665.4078947,780.1611842,866.1508893,940.1404903,680.675561,428.9638158,475.7631579,507.9708282,
Merchandise imports from low- and middle-income economies within region (% of total merchandise imports),TM.VAL.MRCH.WR.ZS,15.1304184652578,11.3760009392369,10.2930737712649,9.8237857437254,9.02663549574125,10.0881399038281,8.41078201457572,8.84986283220928,10.3140595403318,12.4177697815586,7.92013599116053,7.5350161818832,7.58031964145621,5.80413003053344,6.12889166301877,6.94930709074328,8.44834096541651,7.96660041480261,,
Merchandise imports by the reporting economy (current US$),TM.VAL.MRCH.WL.CD,2067694973,2398491873,2671869600,3711938488,4290745031,5333007067,8525689606,16999815246,25455079096,23932371515,18158402578,20807939096,29040480575,26772241780,28776276674,16770135537,11047691882,12010207481,,
"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",TM.VAL.MRCH.RS.ZS,5.67787611485381,6.27450164389196,6.46827771834374,7.04904404655102,6.93545882708034,7.18959461675133,8.54717315168464,5.93855959839058,0.158451713498459,0.250902878397841,0.170666686493374,0.1240482196767,0.148835556933617,0.0849865438500459,0.242390017270794,0.0857085201743656,0.0983188535308212,0.102055838913613,,
"Smoking prevalence, males (% of adults)",SH.PRV.SMOK.MA,,,,,,,,,,,,,,,,,,,,
"Smoking prevalence, females (% of adults)",SH.PRV.SMOK.FE,,,,,,,,,,,,,,,,,,,,
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,
Prevalence of anemia among pregnant women (%),SH.PRG.ANEM,55.3,54.8,54.3,53.8,53.4,53,52.6,52.2,51.9,51.6,51.3,51.2,51,50.9,50.8,50.7,50.8,,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,5.68565913345932,5.25528016391267,4.73517371669085,4.29415211075955,3.90746344227038,3.52206321481396,3.19396973622733,2.90285342087374,2.64275566341579,2.38686187237249,2.15145893775229,1.96784206075322,1.81914960030337,1.71832662322467,1.63008700176371,1.55852896314613,1.50120542649021,1.45125099871175,,
Lifetime risk of maternal death (1 in: rate varies by country),SH.MMR.RISK,18,19,21,23,26,28,31,34,38,42,46,51,55,58,61,64,67,69,,
Number of maternal deaths,SH.MMR.DTHS,6600,6300,5800,5500,5200,4800,4500,4300,4000,3700,3500,3300,3100,3100,3000,3000,3000,3000,,
Children with fever receiving antimalarial drugs (% of children under age 5 with fever),SH.MLR.TRET.ZS,,63,,,,,,29.8,,,,28.3,,,,,18.1,,,
Use of insecticide-treated bed nets (% of under-5 population),SH.MLR.NETS.ZS,,2.2999999523,,,,,,17.7,,,,25.9,,,,,21.7,,,
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,222.39,,,,,,,,,,133.76,125.54,123.99,130.2,139.97,154.48,155.66,154.97,,
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,,,,,,,,,,,,,,,,,,,,
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,,,,,0.0618,,,,,0.1311,,,,,,,,0.2149,,
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,,,,,0.9798,,,,,1.3123,,,,,,,,,,
"Community health workers (per 1,000 people)",SH.MED.CMHW.P3,,,,,,,,,,,,,,,,,,,,
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,0.8,,,,,,,,,,,,,,
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,32,60,59,44,43,21,21,58,48,46,62,57,65,59,56,51,45,42,50,
"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,19,26,27,22,19,15,8,43,41,34,52,46,52,54,55,55,55,52,59,
"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,,,,,,,,43,41,34,52,46,52,54,55,55,55,52,59,
Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),SH.HIV.PMTC.ZS,0,0,0,0,2,3,12,11,14,16,18,12,15,26,39,36,31,28,38,
"Incidence of HIV (per 1,000 uninfected population ages 15-49)",SH.HIV.INCD.ZS,1.7,1.8,1.9,1.9,2,2,2,2,2,2,1.9,1.9,1.9,1.9,1.8,1.7,1.7,1.6,1.6,
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,SH.HIV.INCD.TL,16000,18000,19000,21000,22000,23000,24000,25000,25000,26000,26000,27000,28000,28000,27000,27000,28000,29000,28000,
Children (ages 0-14) newly infected with HIV,SH.HIV.INCD.14,3700,4100,4600,5000,5400,5800,5900,6200,6400,6600,6800,7200,7300,6900,6400,6500,7000,7600,7000,
Adults (ages 15+) newly infected with HIV,SH.HIV.INCD,13000,13000,15000,15000,16000,17000,18000,18000,19000,20000,20000,20000,21000,21000,21000,21000,21000,21000,21000,
Antiretroviral therapy coverage (% of people living with HIV),SH.HIV.ARTC.ZS,0,0,0,0,0,0,3,4,6,8,10,11,13,18,23,24,23,24,27,
"Prevalence of HIV, male (% ages 15-24)",SH.HIV.1524.MA.ZS,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
"Prevalence of HIV, female (% ages 15-24)",SH.HIV.1524.FE.ZS,1,1,1.1,1.1,1.2,1.2,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.2,1.2,
Children (0-14) living with HIV,SH.HIV.0014,10000,12000,13000,15000,17000,19000,21000,23000,24000,26000,28000,30000,32000,33000,34000,34000,36000,37000,38000,
People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,,,,,,,,,,,,,,,,,,,,
"People using safely managed drinking water services, urban (% of urban population)",SH.H2O.SMDW.UR.ZS,,,,,,,,,,,,,,,,,,,,
"People using safely managed drinking water services, rural (% of rural population)",SH.H2O.SMDW.RU.ZS,,,,,,,,,,,,,,,,,,,,
People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,41.1443091321417,42.2546732241249,43.3767998591689,44.3638718121643,45.3513358144059,46.3360177882994,47.1502292032677,47.9614676062746,48.7704032007624,49.5751637650709,50.3768413386117,51.174835352104,51.9685422620709,52.7573468956564,53.5415088774555,54.3169268979247,55.0842762884068,55.8429048722414,,
"People using at least basic drinking water services, urban (% of urban population)",SH.H2O.BASW.UR.ZS,61.0665268636104,61.9511567858952,62.8357867081798,63.4490148512844,64.054707257885,64.6528639279815,65.243484861574,65.8265700586628,66.4021195192476,66.9701332433284,67.5306112309052,68.0835534819782,68.6289599965472,69.1668307746123,69.6971658161733,70.2199651212306,70.7352286897838,71.2429565218332,,
"People using at least basic drinking water services, rural (% of rural population)",SH.H2O.BASW.RU.ZS,21.1526407182437,21.5282159534112,21.9031064281789,22.2773121425465,22.6508330965143,23.023669290082,23.3958207232497,23.7672873960175,24.1380693083853,24.5081664603532,24.877578851921,25.2463064830888,25.6143493538568,25.9817074642247,26.3483808141928,26.7143694037607,27.0796732329288,27.4442923016968,,
Demand for family planning satisfied by modern methods (% of married women with demand for family planning),SH.FPL.SATM.ZS,,,,,,,,,,,,,,,,,24.3,,,
"Mortality rate, neonatal (per 1,000 live births)",SH.DYN.NMRT,50.5,49.4,48.2,46.9,45.4,43.8,42.1,40.6,39.1,37.7,36.4,35,33.8,32.7,31.7,30.8,29.9,29.2,28.5,
"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",SH.DYN.NCOM.ZS,24,,,,,21.3,,,,,18.1,,,,,16.9,16.5,,,
"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, male (%)",SH.DYN.NCOM.MA.ZS,24.2,,,,,21.5,,,,,18.6,,,,,17.6,17.2,,,
"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, female (%)",SH.DYN.NCOM.FE.ZS,23.8,,,,,21.2,,,,,17.8,,,,,16.3,16,,,
"Mortality rate, under-5, male (per 1,000 live births)",SH.DYN.MORT.MA,216.8,,,,,,,,,,128.3,,,,,94.5,,,83,
"Mortality rate, under-5, female (per 1,000 live births)",SH.DYN.MORT.FE,194.1,,,,,,,,,,112.2,,,,,81.3,,,71.1,
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,205.7,199.7,192.6,184.8,176.2,166.8,157.3,147.7,138.3,129,120.5,112.5,104.9,98.4,92.9,88.1,84,80.4,77.2,
"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,1,1.1,1.2,1.3,1.3,1.4,1.5,1.6,1.6,1.7,1.7,1.8,1.8,1.9,1.9,1.9,1.9,2,2,
Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,67.6,68,68.3,68.6,68.8,69,69.1,69.1,69.1,69.1,69,69,68.9,68.8,68.9,69,69.1,69.1,68.9,
"Probability of dying at age 5-14 years (per 1,000 children age 5)",SH.DYN.0514,41.1,,,,,,,,,,24.6,,,,,18.5,,,16.4,
Number of neonatal deaths,SH.DTH.NMRT,39968,40324,40638,40808,40773,40561,40263,39942,39622,39259,38823,38297,37825,37355,36838,36480,36136,35922,35780,
"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,18,,,,,,,,,,23.2,,,,,27.2,27.4,,,
Number of under-five deaths,SH.DTH.MORT,153601,153651,152757,151182,148794,145437,141551,137230,132420,127297,122323,117330,112247,107779,104107,100834,98117,95856,93821,
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,7.2,,,,,,,,,,8.2,,,,,9.4,9.2,,,
Number of infant deaths,SH.DTH.IMRT,93459,93848,93749,93284,92360,90949,89157,87025,84569,81857,79169,76424,73589,71093,69055,67248,65803,64652,63667,
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,74.7,,,,,,,,,,68.7,,,,,63.4,63.4,,,
Number of deaths ages 5-14 years,SH.DTH.0514,20224,,,,,,,,,,16772,,,,,15238,,,14947,
"Condom use, population ages 15-24, male (% of males ages 15-24)",SH.CON.1524.MA.ZS,,,,,,,,,,,,,,,,,,,,
"Condom use, population ages 15-24, female (% of females ages 15-24)",SH.CON.1524.FE.ZS,,,,,,,,,,,,,,,,,,,,
Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,51.6,51,50.5,50,49.6,49.2,48.8,48.4,47.9,47.5,47.1,46.9,46.7,46.7,46.7,46.9,47.2,,,
Prevalence of anemia among children (% of children under 5),SH.ANM.CHLD.ZS,66.2,65.2,64.2,63.3,62.2,61,59.8,58.3,57,55.8,54.8,54,53.2,52.4,51.8,51.3,50.9,,,
Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,52.2,51.6,51.1,50.6,50.1,49.7,49.3,48.9,48.5,48.1,47.7,47.5,47.3,47.2,47.2,47.4,47.7,,,
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,,,,,,,,,,,14.7,,,,,,10.7,,,
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,,,,,,,,,,,9,,,,,,6.4,,,
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,,,,,,,,,,,3.6,,,,,,2.3,,,
Women who believe a husband is justified in beating his wife when she refuses sex with him (%),SG.VAW.REFU.ZS,,,,,,,,,,,,,,,,,11.5,,,
Women who believe a husband is justified in beating his wife (any of five reasons) (%),SG.VAW.REAS.ZS,,,,,,,,,,,,,,,,,25.2,,,
Women who believe a husband is justified in beating his wife when she neglects the children (%),SG.VAW.NEGL.ZS,,,,,,,,,,,,,,,,,16.3,,,
Women who believe a husband is justified in beating his wife when she goes out without telling him (%),SG.VAW.GOES.ZS,,,,,,,,,,,,,,,,,14.5,,,
Women who believe a husband is justified in beating his wife when she burns the food (%),SG.VAW.BURN.ZS,,,,,,,,,,,,,,,,,10.5,,,
Women who believe a husband is justified in beating his wife when she argues with him (%),SG.VAW.ARGU.ZS,,,,,,,,,,,,,,,,,15.2,,,
Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of women age 15-49),SG.VAW.1549.ZS,,,,,,,,,,,,,,,,,,,,
"Proportion of time spent on unpaid domestic and care work, male (% of 24 hour day)",SG.TIM.UWRK.MA,,,,,,,,,,,,,,,,,,,,
"Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)",SG.TIM.UWRK.FE,,,,,,,,,,,,,,,,,,,,
Nondiscrimination clause mentions gender in the constitution (1=yes; 0=no),SG.NOD.CONS,,,,,,,,,,1,,1,,1,,1,,1,,
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,,,,,,,,,,0,,0,,0,,0,,0,,
Legislation exists on domestic violence (1=yes; 0=no),SG.LEG.DVAW,,,,,,,,,,0,0,0,0,1,1,1,1,1,1,
Law mandates nondiscrimination based on gender in hiring (1=yes; 0=no),SG.LAW.NODC.HR,,,,,,,,,,0,,0,,0,,0,,0,,
Law mandates paid or unpaid maternity leave (1=yes; 0=no),SG.LAW.LEVE.PU,,,,,,,,,,1,,1,,1,,1,,1,,
Logistics performance index: Ease of arranging competitively priced shipments (1=low to 5=high),LP.LPI.ITRN.XQ,,,,,,,,2.5,,,2.38,,2.26,,2.789474,,2.370738,,,
Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high),LP.LPI.INFR.XQ,,,,,,,,2.25,,,1.69,,2.48,,2.105263,,2.133789,,,
Logistics performance index: Efficiency of customs clearance process (1=low to 5=high),LP.LPI.CUST.XQ,,,,,,,,2.4,,,1.75,,2.33,,2.368421,,1.796833,,,
"Lead time to import, median case (days)",LP.IMP.DURS.MD,,,,,,,,10.6,,,8,,,,4,,14,,,
"Lead time to export, median case (days)",LP.EXP.DURS.MD,,,,,,,,7.9,,,6,,,,5,,14,,,
Individuals using the Internet (% of population),IT.NET.USER.ZS,0.105045562,0.136013867,0.270376746,0.370682065,0.464814618,1.143366827,1.5,1.7,1.9,2.3,2.8,3.1,6.5,8.9,21.4,12.4,13,14.33907936,,
Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,1.28445298957718,1.85791791561758,3.18624421900793,4.57414692159912,5.93873181128833,8.14075808245483,8.32105861617189,10.7992997760856,11.1977495963779,
Secure Internet servers,IT.NET.SECR,,,,,,,,,,,30,45,80,119,160,227,240,322,345,
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,0.037012589,0.0559665,0.073480222,0.066624379,0.064222649,0.06530375,0.081695302,0.085648015,0.325702323,0.550742009,0.42692224,0.325048666,0.355604536,
Fixed broadband subscriptions,IT.NET.BBND,,,,,,,7458,11700,15942,15000,15000,15817,20512,22282,87750,153571,123135,96919,109561,
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,0.395840974,0.453210902,0.45777779,0.469293925,0.502608334,0.497900492,0.487173609,0.451051723,0.526815672,1.346607515,1.203626644,0.658466753,0.829797565,0.82622928,1.066804089,1.021808589,1.055709859,0.54019943,0.557803272,
Fixed telephone subscriptions,IT.MLT.MAIN,64900,76800,80200,85043,94280,96760,98165,94294,114296,303179,281122,159485,208345,214950,287416,284925,304493,161070,171858,
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,0.157397106,0.442588771,0.799113349,1.931409682,3.944952979,8.290372521,15.15947895,23.73331666,31.21990351,36.01900945,40.26060095,49.84677338,50.92059955,51.06592034,52.15898327,49.79322295,45.07629005,44.68610714,43.13051888,
Mobile cellular subscriptions,IT.CEL.SETS,25806,75000,140000,350000,740000,1611118,3054620,4961536,6773356,8109421,9403365,12073218,12785109,13285198,14052558,13884532,13001124,13323952,13288421,
